Food_Item,Food_Item_VN,Category,Category_VN,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
Scrambled Eggs (2 large),Trứng chiên (2 quả lớn),Protein/Dairy,Chất đạm/Sữa,180,12,2,14,0,1,180,370,Breakfast,250
Whole Wheat Toast (1 slice),Bánh mì nướng lúa mì nguyên hạt (1 lát),Grain,Ngũ cốc,80,4,14,1,2,2,140,0,Breakfast,0
Coffee (black),Cà phê đen (không đường),Beverage,Đồ uống,5,0.3,0,0.1,0,0,5,0,Breakfast,0
Banana,Chuối,Fruit,Trái cây,105,"46,082.00",27,0.4,3.1,14,1,0,Breakfast,0
Grilled Chicken Salad,Gỏi Gà Nướng,Meal/Protein,Bữa ăn/Chất đạm,350,30,10,20,5,4,400,80,Lunch,500
Apple,Táo,Fruit,Trái cây,95,0.5,25,0.3,4.4,19,2,0,Snack,0
Salmon (4oz grilled),Cá hồi (113 gram nướng),Protein/Fish,Chất đạm/Cá,230,25,0,14,0,0,60,60,Dinner,250
Quinoa (1 cup cooked),Hạt Diêm Mạch (185 gram đã nấu),Grain,Ngũ cốc,222,8,39,"46,176.00",5,1,13,0,Dinner,0
Steamed Broccoli (1 cup),Bông cải xanh hấp (120 gram),Vegetable,Rau củ,55,"46,206.00","46,064.00",0.6,5.1,2,40,0,Dinner,0
Greek Yogurt (plain 1 cup),"Sữa Chua Hy Lạp (nguyên chất, 240g)",Dairy,Sản phẩm từ sữa,150,25,8,3,0,7,85,10,Snack,250
Oatmeal (1 cup cooked),Bột yến mạch (240 gram đã nấu chín),Grain,Ngũ cốc,160,6,28,3,4,1,2,0,Breakfast,250
Blueberries (1/2 cup),Quả việt quất (74 g),Fruit,Trái cây,42,0.5,11,0.2,1.8,7,1,0,Breakfast,0
Almonds (1 oz),Hạnh nhân (28.35 g),Nut,Hạt,164,6,6,14,3.5,1,1,0,Snack,0
Turkey Sandwich (on wheat),Bánh Mì Thổ Nhĩ Kỳ (bánh mì lúa mì nguyên cám),Meal/Processed,Bữa ăn/Chế biến,340,22,34,12,5,6,850,50,Lunch,500
Carrot Sticks (1 cup),Cà rốt dạng que (237 ml),Vegetable,Rau củ,52,"46,054.00","46,093.00",0.3,3.6,6,88,0,Snack,0
Spaghetti Bolognese,Mì Ý Sốt Thịt Bò Bằm (Bolognese),Meal/Pasta,Bữa ăn/Mì ống,460,20,55,18,6,10,700,50,Dinner,250
Side Salad (light dressing),Salad phụ (sốt trộn ít béo),Vegetable,Rau củ,70,2,8,4,3,3,150,0,Dinner,0
Protein Shake (Whey),Thức uống bổ sung protein (Whey),Supplement,Thực phẩm bổ sung,120,24,3,1,1,2,160,5,Snack,500
Cereal (Frosted Flakes 1 cup),"Ngũ cốc (Frosted Flakes, khẩu phần 240 ml)",Grain/Processed,Ngũ cốc/Chế biến,130,2,31,0,1,11,190,0,Breakfast,0
Milk (2% 1 cup),Sữa giảm béo 2% (240ml),Dairy,Sản phẩm từ sữa,122,8,12,5,0,12,100,20,Breakfast,0
Lentil Soup (1 can),Súp Đậu Lăng (1 lon),Meal/Legume,Bữa ăn/Đậu,230,15,35,3,12,6,650,0,Lunch,250
White Rice (1 cup cooked),"Cơm trắng (186 g, đã nấu)",Grain,Ngũ cốc,204,"46,057.00",44.5,0.4,0.6,0.1,2,0,Dinner,0
Tofu Stir-fry,Đậu phụ xào,Meal/Vegetarian,Bữa ăn/Chay,400,18,30,22,7,9,500,0,Dinner,250
Orange,Quả Cam,Fruit,Trái cây,62,"46,054.00","46,127.00",0.2,3.1,12,0,0,Snack,0
Bagel (plain),Bánh mì vòng (thường),Grain,Ngũ cốc,270,11,55,"46,143.00",2,5,430,0,Breakfast,250
Cream Cheese (2 tbsp),Phô mai kem (khoảng 34 g),Dairy,Sản phẩm từ sữa,100,2,2,10,0,1,90,30,Breakfast,0
Tuna Salad (1/2 cup),"Salad Cá Ngừ (1,2 dl)",Meal/Fish,Bữa ăn/Cá,190,19,2,12,1,1,400,30,Lunch,500
Crackers (5 whole wheat),"Bánh quy giòn (5 chiếc, làm từ lúa mì nguyên hạt)",Grain/Processed,Ngũ cốc/Chế biến,90,2,14,3,2,0,180,0,Lunch,0
Beef Steak (6oz sirloin),Bít tết bò (thăn nội 170g),Protein/Meat,Chất đạm/Thịt,270,42,0,10,0,0,90,115,Dinner,250
Baked Potato (medium),Khoai tây nướng (cỡ trung bình),Vegetable,Rau củ,160,"46,085.00",36,0.2,3.8,1,17,0,Dinner,0
Ice Cream (1/2 cup vanilla),Kem Vani (65 g),Dairy/Dessert,Sữa/Tráng miệng,145,"46,144.00",17,"46,149.00",0.5,16,55,30,Snack,0
Pizza (1 slice pepperoni),Pizza (1 lát pepperoni),Meal/Processed,Bữa ăn/Chế biến,290,12,34,12,2,4,720,35,Dinner,250
Avocado Toast (1 slice),Bánh mì nướng bơ (1 lát),Meal/Vegetarian,Bữa ăn/Chay,260,7,28,15,10,1,350,0,Breakfast,500
Hard-Boiled Egg (1 large),Trứng Gà Luộc Chín (1 quả lớn),Protein,Chất đạm,78,"46,087.00",0.6,"46,086.00",0,0.5,62,187,Snack,0
Chicken Wrap (with tortilla),Bánh Cuộn Gà (kèm vỏ bánh tortilla),Meal/Processed,Bữa ăn/Chế biến,410,25,38,17,5,3,780,60,Lunch,250
Grapes (1 cup),Nho (150 gram),Fruit,Trái cây,104,"46,023.00",27,0.2,1.4,23,3,0,Snack,0
Cottage Cheese (1/2 cup),Phô mai Cottage (khoảng 120 ml),Dairy,Sản phẩm từ sữa,90,12,5,3,0,4,400,10,Snack,0
Burger (cheeseburger),Bánh mì kẹp thịt bò (thịt bò và phô mai),Meal/Processed,Bữa ăn/Chế biến,550,30,40,30,3,7,1100,90,Dinner,500
French Fries (medium),Khoai tây chiên (cỡ vừa),Vegetable/Processed,Rau củ/Chế biến,340,4,44,17,4,0.3,230,0,Dinner,0
Protein Bar,Thanh protein,Supplement/Processed,Thực phẩm bổ sung/Chế biến,210,20,22,7,6,1,180,5,Snack,500
Black Beans (1/2 cup),Đậu đen (122g),Legume,Đậu,114,"46,180.00","46,132.00",0.5,7.5,0.3,1,0,Lunch,0
Salsa (1/4 cup),Salsa (khoảng 59 ml),Vegetable,Rau củ,20,0.8,"46,146.00",0.1,1,3,250,0,Lunch,0
Chicken Noodle Soup (1 can),Súp Gà Nui (1 lon),Meal/Processed,Bữa ăn/Chế biến,150,7,18,5,2,2,890,15,Lunch,250
Peanut Butter (2 tbsp),Bơ Đậu Phộng (30 ml),Nut,Hạt,190,7,8,16,2,3,140,0,Snack,0
Celery Sticks (1 cup),Cọng cần tây (100 gram),Vegetable,Rau củ,14,0.6,3,0.2,1.4,"46,054.00",77,0,Snack,0
Cod (4oz baked),Cá tuyết (113g nướng),Protein/Fish,Chất đạm/Cá,95,20,0,0.8,0,0,95,55,Dinner,250
Green Beans (1 cup),Đậu que (100 gram),Vegetable,Rau củ,31,"46,235.00",7,0.2,2.7,"46,084.00",6,0,Dinner,0
Chocolate Chip Cookie (1 large),Bánh quy sô-cô-la chip (1 chiếc cỡ lớn),Dessert,Tráng miệng,220,"46,144.00",30,11,1.5,19,160,20,Snack,0
Tea (Green 1 cup),Trà xanh (240 ml),Beverage,Đồ uống,2,0.5,0,0,0,0,2,0,Breakfast,250
Shrimp (3oz steamed),Tôm (85g hấp),Protein/Fish,Chất đạm/Cá,84,20,0.2,0.2,0,0,100,161,Dinner,250
Pancakes (2 medium),Bánh kếp (2 cỡ vừa),Grain,Ngũ cốc,180,5,30,5,1,6,450,25,Breakfast,0
Maple Syrup (2 tbsp),Xi-rô phong (30 mL),Condiment,Gia vị,104,0,27,0,0,24,2,0,Breakfast,0
Sausage Link (1 cooked),Xúc xích liên kết (1 cái đã nấu chín),Protein/Meat,Chất đạm/Thịt,85,5,1,7,0,0.5,300,20,Breakfast,0
Smoothie (Fruit & Yogurt),Sinh tố (Trái cây & Sữa chua),Beverage/Meal,Đồ uống/Bữa ăn,280,12,55,3,7,40,70,5,Breakfast,250
Tofu (4oz firm),"Đậu phụ (113g, dạng cứng)",Protein/Vegetarian,Chất đạm/Chay,90,10,3,5,2,1,10,0,Lunch,0
Brown Rice (1 cup cooked),Gạo lứt (195g đã nấu chín),Grain,Ngũ cốc,215,5,45,"46,235.00",3.5,0.4,10,0,Lunch,0
Bell Pepper (1 medium red),Ớt chuông (1 quả đỏ cỡ vừa),Vegetable,Rau củ,31,"46,054.00",6,0.3,2.1,"46,057.00",4,0,Lunch,0
Hummus (2 tbsp),Hummus (30ml),Legume,Đậu,70,2,4,5,2,0,130,0,Snack,0
Pita Bread (1 whole wheat),Bánh mì Pita (1 cái làm từ lúa mì nguyên cám),Grain,Ngũ cốc,170,6,35,"46,143.00",5,2,320,0,Snack,0
Pork Chop (4oz grilled),Sườn heo (113g nướng),Protein/Meat,Chất đạm/Thịt,220,30,0,10,0,0,70,85,Dinner,250
Mashed Potatoes (1 cup),Khoai tây nghiền (240 ml),Vegetable,Rau củ,230,4,35,8,3,2,350,15,Dinner,0
Corn (1 cup),Ngô (175 g),Vegetable,Rau củ,132,"46,207.00",30,"46,235.00",3.6,"46,273.00",2,0,Dinner,0
Soda (1 can Coke),Nước ngọt có ga (1 lon Coca),Beverage,Đồ uống,140,0,39,0,0,39,45,0,Snack,355
Pretzels (1 oz),Bánh quy que (28 g),Grain/Processed,Ngũ cốc/Chế biến,110,3,23,1,1,1,450,0,Snack,0
Cheddar Cheese (1 oz),Phô mai Cheddar (28g),Dairy,Sản phẩm từ sữa,115,7,1,"46,151.00",0,0.5,180,30,Snack,0
Caesar Salad (with chicken),Salad Caesar (kèm thịt gà),Meal/Protein,Bữa ăn/Chất đạm,470,30,15,30,3,3,890,75,Lunch,250
Orange Juice (1 cup),Nước cam ép (240 ml),Beverage,Đồ uống,112,"46,204.00","46,259.00",0.5,0.7,"46,254.00",2,0,Breakfast,240
Bacon (2 slices cooked),Thịt ba rọi xông khói (2 lát đã nấu chín),Protein/Meat,Chất đạm/Thịt,86,6,0.2,"46,240.00",0,0.1,330,18,Breakfast,0
Waffles (2 homemade),Bánh Waffle (2 cái tự làm),Grain,Ngũ cốc,220,6,28,9,1.5,3,420,45,Breakfast,0
Pear,Lê,Fruit,Trái cây,101,0.6,27,0.2,5.5,16,2,0,Snack,0
Chicken Breast (4oz roasted),"Ức gà (113g, quay/nướng)",Protein/Meat,Chất đạm/Thịt,185,35,0,4,0,0,80,95,Lunch,500
Mixed Nuts (1/4 cup),Hỗn hợp các loại hạt (60 ml),Nut,Hạt,200,6,8,18,3,2,1,0,Snack,0
Tilapia (4oz baked),"Cá rô phi (113,4g nướng)",Protein/Fish,Chất đạm/Cá,110,22,0,"46,144.00",0,0,50,50,Dinner,0
Asparagus (1 cup steamed),Măng tây (175g hấp),Vegetable,Rau củ,40,"46,085.00","46,119.00",0.4,3.6,"46,145.00",4,0,Dinner,0
Sweet Potato (1 medium baked),Khoai lang (1 củ nướng cỡ trung bình),Vegetable,Rau củ,103,"46,083.00","46,196.00",0.2,3.8,"46,119.00",41,0,Dinner,0
Popcorn (3 cups air-popped),Bỏng ngô (3 cốc nổ bằng khí nóng),Grain,Ngũ cốc,93,3,"46,191.00","46,023.00",3.6,0.1,2,0,Snack,250
Raisins (1/4 cup),Đã xảy ra lỗi. Hãy thử lại.,Fruit,Trái cây,130,"46,082.00",34,0.2,1.6,25,5,0,Snack,0
Macaroni & Cheese (1 cup),Macaroni và Pho mát (240 ml),Meal/Pasta,Bữa ăn/Mì ống,350,10,40,17,2,5,750,40,Lunch,250
Tomato Soup (1 can),Súp Cà Chua (1 lon),Meal/Vegetable,Bữa ăn/Rau củ,170,4,25,6,4,15,900,10,Lunch,0
Grilled Cheese Sandwich,Bánh Mì Nướng Phô Mai,Meal/Processed,Bữa ăn/Chế biến,390,15,32,22,3,4,800,60,Lunch,0
Beef Tacos (2 hard shell),Tacos Bò (2 vỏ cứng),Meal/Meat,Bữa ăn/Thịt,380,18,28,22,5,3,600,50,Dinner,500
Refried Beans (1/2 cup),Đậu nghiền (120 ml),Legume,Đậu,115,7,19,1,6,1,480,0,Dinner,0
Guacamole (1/4 cup),Guacamole (60 mL),Vegetable/Condiment,Rau củ/Gia vị,90,1,4,8,3,0.5,120,0,Dinner,0
Watermelon (1 cup diced),Dưa hấu (152 gram cắt hạt lựu),Fruit,Trái cây,46,0.9,"46,153.00",0.2,0.6,"46,121.00",2,0,Snack,0
English Muffin (whole wheat),Bánh Muffin Kiểu Anh (ngũ cốc nguyên hạt),Grain,Ngũ cốc,134,6,26,1,4.4,1,210,0,Breakfast,250
Peanut Butter & Jelly Sandwich,Bánh mì kẹp bơ đậu phộng và mứt trái cây (thạch),Meal/Processed,Bữa ăn/Chế biến,390,12,50,17,5,20,450,0,Lunch,250
Clam Chowder (1 cup),Súp nghêu (240 ml),Meal/Seafood,Bữa ăn/Hải sản,200,10,18,9,1,2,870,30,Lunch,0
Iced Tea (Sweetened 16oz),Trà đá (đã làm ngọt 473 ml),Beverage,Đồ uống,180,0,46,0,0,46,15,0,Snack,500
Lasagna (1 serving meat),Lasagna (1 khẩu phần thịt),Meal/Pasta,Bữa ăn/Mì ống,350,20,30,17,4,7,850,55,Dinner,250
Garlic Bread (1 slice),Bánh Mì Bơ Tỏi (1 lát),Grain,Ngũ cốc,150,4,18,7,1,1,310,0,Dinner,0
Chocolate Milk (1 cup),Sữa Sô-cô-la (240 ml),Beverage/Dairy,Đồ uống/Sữa,200,8,26,8,1,24,160,30,Snack,0
White Bread (1 slice),Bánh mì trắng (1 lát),Grain,Ngũ cốc,70,2,13,1,0.6,"46,054.00",140,0,Breakfast,0
Jelly (1 tbsp grape),Thạch (15 gam nho),Condiment,Gia vị,50,0,13,0,0.1,12,5,0,Breakfast,0
Veggie Burger (1 patty),Burger Rau Củ (1 miếng chả),Protein/Vegetarian,Chất đạm/Chay,120,11,10,4,5,1,350,0,Lunch,250
Bun (hamburger),Bánh mì kẹp thịt (Hamburger),Grain,Ngũ cốc,140,4,26,2,1,4,260,0,Lunch,0
Ketchup (1 tbsp),Sốt cà chua (15 mL),Condiment,Gia vị,20,0.2,5,0.1,0.2,4,160,0,Lunch,0
Muffin (Blueberry 1 large),"Bánh muffin (Việt quất, 1 cái lớn)",Grain/Dessert,Ngũ cốc/Tráng miệng,380,5,55,16,2,30,350,50,Breakfast,250
Coffee (with cream/sugar),Cà phê (có kem/đường),Beverage,Đồ uống,50,0.5,5,3,0,"46,146.00",10,10,Breakfast,250
Potato Chips (1 oz),Khoai tây chiên (1 oz),Snack/Processed,Đồ ăn nhẹ/Chế biến,160,2,15,10,1,0.5,170,0,Snack,0
Tzatziki Sauce (2 tbsp),Sốt Tzatziki (khoảng 30 ml),Condiment/Dairy,Gia vị/Sữa,30,"46,143.00",2,2,0,"46,143.00",100,5,Dinner,0
Scallops (3oz seared),Sò điệp (85g áp chảo),Protein/Seafood,Chất đạm/Hải sản,95,17,5,1,0,0,180,35,Dinner,0
Risotto (Mushroom 1 cup),"Cơm Risotto (Nấm, khẩu phần 240g)",Meal/Grain,Bữa ăn/Ngũ cốc,250,7,35,9,3,3,600,20,Dinner,0
Caprese Salad,Salad Caprese,Meal/Vegetable,Bữa ăn/Rau củ,240,10,8,18,2,5,350,40,Lunch,250
Balsamic Vinaigrette (2 tbsp),Nước xốt giấm Balsamic (30 mL),Condiment,Gia vị,90,0,3,9,0,"46,144.00",300,0,Lunch,0
Cherries (1 cup),Quả Cherry (138 gram),Fruit,Trái cây,77,"46,174.00",19,0.5,2.5,15,0,0,Snack,0
Turkey Bacon (2 slices),Thịt xông khói gà tây (2 lát),Protein/Meat,Chất đạm/Thịt,70,6,1,5,0,0.5,360,30,Breakfast,0
Grits (1 cup cooked),"Bột ngô xay nhuyễn (236,6 ml đã nấu chín)",Grain,Ngũ cốc,150,3,32,1,2,0.5,320,0,Breakfast,0
Butter (1 tbsp),Bơ (15ml),Condiment/Dairy,Gia vị/Sữa,100,0.1,0,11,0,0,82,30,Breakfast,0
Meatball Sub (6 inch),Bánh Mì Kẹp Thịt Viên (15 cm),Meal/Processed,Bữa ăn/Chế biến,580,28,55,27,6,10,1200,70,Lunch,500
Kiwifruit (1 medium),Quả kiwi (1 quả cỡ vừa),Fruit,Trái cây,46,0.9,"46,033.00",0.4,2.3,"46,209.00",2,0,Snack,0
Beef Jerky (1 oz),"Thịt bò khô (khoảng 28,35 g)",Snack/Processed,Đồ ăn nhẹ/Chế biến,116,"46,121.00","46,025.00","46,060.00",0.5,"46,144.00",590,30,Snack,0
Figs (2 medium),Quả sung (2 quả cỡ vừa),Fruit,Trái cây,74,0.6,"46,072.00",0.3,2.9,"46,069.00",2,0,Snack,0
Lobster (3oz steamed),Tôm hùm (85g hấp),Protein/Seafood,Chất đạm/Hải sản,76,16,0,0.7,0,0,250,125,Dinner,250
Melted Butter (for lobster),Bơ đun chảy (dùng kèm tôm hùm),Condiment,Gia vị,200,0.2,0,22,0,0,164,60,Dinner,0
Corn on the Cob (1 large),Bắp/Ngô luộc/nướng nguyên trái (1 trái lớn),Vegetable,Rau củ,125,5,29,"46,143.00",3,5,2,0,Dinner,0
Vegetable Soup (1 can),Súp Rau Củ (1 lon),Meal/Vegetable,Bữa ăn/Rau củ,140,4,22,4,6,8,780,5,Lunch,250
Saltine Crackers (5 crackers),Bánh quy giòn mặn (5 cái),Grain/Processed,Ngũ cốc/Chế biến,60,1,10,"46,143.00",0.5,0,140,0,Lunch,0
Mango (1 cup slices),Xoài (165g miếng cắt lát),Fruit,Trái cây,99,"46,113.00","46,227.00",0.6,2.6,"46,164.00",2,0,Snack,0
Cheesecake (1 slice),Bánh phô mai (1 lát),Dessert,Tráng miệng,320,5,28,21,1,20,280,65,Snack,250
Pad Thai (Chicken 1.5 cups),Pad Thái (Gà 355 ml),Meal/Pasta,Bữa ăn/Mì ống,550,25,60,22,5,10,950,70,Dinner,500
Spring Roll (Veg 2 rolls),"Chả giò (Cuốn rau củ, 2 cuốn)",Snack/Processed,Đồ ăn nhẹ/Chế biến,180,4,25,7,3,3,450,0,Dinner,0
Coconut Water (1 cup),Nước dừa (240ml),Beverage,Đồ uống,46,"46,204.00","46,273.00",0.5,2.6,"46,087.00",252,0,Snack,240
Kimchi (1/2 cup),Kimchi (118 ml),Vegetable,Rau củ,22,"46,204.00",4,0.4,2.4,"46,143.00",750,0,Side,0
Sashimi (Salmon 3 pcs),Sashimi (Cá hồi 3 lát),Protein/Fish,Chất đạm/Cá,120,18,0,5,0,0,45,40,Lunch,0
Wasabi (1 tsp),Wasabi (5 ml),Condiment,Gia vị,10,0.1,"46,055.00",0.1,0.3,1,40,0,Lunch,0
Seaweed Salad (1/2 cup),Gỏi rong biển (khoảng 120 ml),Vegetable,Rau củ,60,2,8,3,2,4,350,0,Lunch,0
French Onion Soup (1 cup),Súp hành tây kiểu Pháp (240 ml),Meal,Bữa ăn,150,6,15,7,2,5,800,20,Lunch,250
Croutons (1/4 cup),Bánh mì sấy giòn (khoảng 60 ml),Grain,Ngũ cốc,50,"46,143.00",7,2,0.5,0.5,140,0,Lunch,0
Shepherd's Pie (1 serving),Bánh Thịt Cừu Đút Lò (1 khẩu phần),Meal/Meat,Bữa ăn/Thịt,400,20,35,20,6,7,850,55,Dinner,250
Green Peas (1/2 cup),Đậu Hà Lan Xanh (120ml),Legume,Đậu,62,"46,026.00","46,033.00",0.2,4.4,"46,057.00",2,0,Dinner,0
Apple Pie (1 slice),Bánh Táo (1 lát),Dessert,Tráng miệng,410,3,58,19,3,25,320,0,Snack,0
Gin & Tonic (1 drink),Gin & Tonic (1 ly),Beverage,Đồ uống,170,0,13,0,0,13,2,0,Snack,180
Red Wine (5 oz glass),Rượu Vang Đỏ (cốc 150 ml),Beverage,Đồ uống,125,0.1,"46,237.00",0,0,0.9,6,0,Dinner,0
Halibut (4oz baked),Cá bơn Đại Tây Dương nướng (khoảng 113 gram),Protein/Fish,Chất đạm/Cá,125,24,0,"46,144.00",0,0,60,40,Dinner,250
Quinoa Salad (1 cup),Salad Hạt Diêm Mạch (240g),Meal/Vegetarian,Bữa ăn/Chay,260,9,32,12,6,4,300,0,Lunch,250
Lemonade (1 cup),Nước chanh (240 ml),Beverage,Đồ uống,99,0.1,26,0,0.1,25,30,0,Snack,240
Pistachios (1 oz shelled),Hạt dẻ cười (28 gam tách vỏ),Nut,Hạt,159,"46,208.00","46,210.00","46,246.00",3,"46,055.00",2,0,Snack,0
Oat Milk (1 cup),Sữa Yến Mạch (240 ml),Beverage/Dairy-Alt,Đồ uống/Sữa thay thế,120,3,16,5,2,7,100,0,Breakfast,0
Biscuits and Gravy (1 serving),Bánh quy và Nước sốt (1 khẩu phần),Meal/Processed,Bữa ăn/Chế biến,480,10,45,28,2,3,1100,35,Breakfast,250
Avocado (1/2 fruit),Quả Bơ (1/2 quả),Fruit,Trái cây,160,2,"46,150.00","46,217.00",6.7,0.7,7,0,Breakfast,0
Corn Flakes (1 cup),Bánh ngô lát (237 ml),Grain,Ngũ cốc,100,2,24,0,1,3,200,0,Breakfast,0
T-Bone Steak (6oz),Bít tết T-Bone (170g),Protein/Meat,Chất đạm/Thịt,460,38,0,33,0,0,110,105,Dinner,0
Creamed Spinach (1/2 cup),Cải bó xôi kem (120 ml),Vegetable,Rau củ,190,5,8,16,3,2,450,50,Dinner,0
Pecans (1 oz),"Hạt hồ đào (28,35g)",Nut,Hạt,196,"46,175.00","46,268.00","46,132.00",2.7,"46,023.00",0,0,Snack,0
Fruit Cocktail (canned 1 cup),Hỗn hợp trái cây đóng hộp (240g),Fruit,Trái cây,110,1,28,0,2,26,10,0,Snack,0
Ramen (Instant 1 pack),Mì Ramen (Mì ăn liền 1 gói),Meal/Processed,Bữa ăn/Chế biến,380,9,53,14,2,2,1580,0,Lunch,500
