ingredient_en,ingredient_vi
Ackee,Quả Akee
All purpose flour,Bột mì đa dụng
All-purpose Seasoning,Gia vị đa năng
Allspice,Hạt tiêu Jamaica
Allspice Berries,Hạt tiêu Jamaica
Almond Essence,Hương hạnh nhân
Almond Extract,tinh dầu hạnh nhân
Almond Flour,bột hạnh nhân
almond milk,Sữa hạnh nhân
Almond Paste,bột hạnh nhân
Almonds,hạnh nhân
Ancho Chillies,Ớt Ancho
Anchovy Fillet,phi lê cá cơm
Apple Cider Vinegar,Giấm táo
Apples,quả táo
Apricot,quả mơ
Apricot Jam,Mứt Mơ
asparagus,măng tây
Aubergine,cà tím
Avocado,bơ
Baby Aubergine,cà tím
Baby Lettuce Leaves,lá rau diếp non
Baby New Potatoes,khoai tây non
Baby Pak Koi,Cải thìa non
baby plum tomatoes,cà chua bi
Baby Squid,mực
Bacon,thịt lợn muối xông khói
Bacon lardon,thịt lợn muối xông khói cắt hạt lựu
Baguette,bánh mì
Baked Beans,đậu hầm
Baking Powder,Bột nở
Balsamic Vinegar,giấm balsamic
Bamboo Shoot,măng
Banana,chuối
Barbeque Sauce,Sốt BBQ
barramundi,Cá Chẽm
basil,húng quế
Basil Leaves,Húng Quế
Basmati Rice,Gạo Basmati
Bay Leaf,lá nguyệt quế
Bay Leaves,Lá nguyệt quế
Bean Sprouts,giá đỗ
Beef,thịt bò
Beef Brisket,Gầu bò
Beef Cutlet,Thịt bò cốt lết
Beef Fillet,Thăn phi lê
Beef Flank Steak,Nạm thăn bò
Beef Gravy,Nước thịt bò
Beef Shin,Bắp bò
Beef Stock,nước dùng bò
Beef Stock Concentrate,Bò cô đặc
Beef Stock Cubes,Viên súp bò
Beef tomatoes,Cà chua bò
Beer,Bia
Beetroot,củ dền
Bicarbonate Of Soda,bột nổi
Birds-eye Chillies,ớt hiểm
Biryani masala,Gia vị Biryani
Black Beans,đậu đen
Black Olives,Ô liu đen
Black Pepper,tiêu đen
Black Pudding,dồi
Black Treacle,mật đường đen
Blackberries,mâm xôi
Blackcurrant Jam,Mứt lý chua đen
Blueberries,việt quất
Boiling Water,nước sôi
Bok Choi,cải thìa
Borlotti Beans,Đậu Borlotti
Bouillon Cubes,Viên nước dùng
Bouquet Garni,túi thảo mộc
bowtie pasta,mì nui nơ bướm
Braeburn Apples,Táo Braeburn
Bramley Apples,Táo Bramley
Brandy,rượu brandy
Bread,bánh mì
Bread Flour,bột bánh mì
Bread Rolls,Bánh mì
Breadcrumbs,bột chiên xù
Brie,Brie
Broad Beans,đậu tằm
Broccoli,súp lơ xanh
Brown Lentils,đậu lăng nâu
Brown Rice,gạo lứt
Brown Rice Noodle,Bún lứt
Brown Sugar,đường nâu
Brussels Sprouts,cải Brussels
Bryndza cheese,Phô mai Bryndza
Buckwheat,kiều mạch
Buckwheat Flour,bột kiều mạch
Bulgur Wheat,Lúa mì bulgur
Bun,Bánh mì tròn
Buns,Bánh
Butter,bơ
Butter Beans,Đậu bơ
Buttermilk,Sữa bơ
Butternut Squash,bí hồ lô
Cabbage,cải bắp
Cabbage Leaves,lá bắp cải
cacao,ca cao
cajun,cajun
Callaloo,Rau Den
Can of chickpeas,đậu gà đóng hộp
Candied Peel,mứt vỏ
Canned tomatoes,Cà chua đóng hộp
Cannellini Beans,Đậu cannellini
Canola Oil,dầu cải
Capers,Cây bạch hoa
Caramel,Nước Màu
Caramel Sauce,Nước Màu
Caramelized Sugar Sauce,Nước Màu
Caraway Seed,Ca rum
Cardamom,bạch đậu khấu
carrot,Cà rốt
Carrots,cà rốt
Casabe,bánh sắn
Cashew Nuts,hạt điều
Cashews,hạt điều
Cassaba,khoai mì
Caster Sugar,đường kính
Cayenne Pepper,ớt Cayenne
Celeriac,Cần tây củ
Celery,cần tây
Celery Salt,muối cần tây
Ciabatta,Bánh mì Ciabatta
Cider,rượu táo
Cider Vinegar,Giấm táo
Cilantro,rau mùi
Cilantro Leaves,rau mùi
Cinnamon,Quế
cinnamon stick,thanh quế
Clams,ngao
Clear Honey,mật ong
Clotted Cream,kem đông
clove,đinh hương
Cloves,đinh hương
coco sugar,Đường dừa
Cocoa,ca cao
Cocoa Powder,Bột ca cao
Coconut Cream,nước cốt dừa
Coconut Flakes,Dừa sấy
Coconut Milk,nước cốt dừa
Cod,cá tuyết
Colby Jack Cheese,Phô mai Colby Jack
cold water,nước lạnh
Condensed Milk,Sữa đặc
Cooked Beetroot,củ dền luộc
Cooked Chestnut,Hạt dẻ nấu
Cooking wine,Rượu nấu ăn
Coriander,Rau mùi
Coriander Leaves,rau mùi
Coriander Seeds,Hạt rau mùi
Corn Arepa Filled With Mozarella Cheese,Bánh ngô Arepa nhân phô mai Mozarella
Corn Flour,bột ngô
corn tortillas,Vỏ bánh Tortilla ngô
Corned Beef,thịt bò muối
Cornmeal,bột ngô
Cornstarch,bột bắp
Courgettes,bí xanh
Couscous,couscous
Cranberry,Nam Việt Quất
Cream,Kem
Cream Cheese,kem phô mai
Cream Of Tartar,Bột kem Tartar
Creamed Corn,Bắp nghiền kem
Creme Fraiche,Kem chua tươi
Crusty Bread,Bánh mì
Cubed Feta cheese,Phô mai Feta cắt miếng
Cucumber,quả dưa chuột
Cumin,thì là
Cumin Seeds,thì là
Currants,nho Hy Lạp
Curry Powder,Bột Cà Ri
Custard,món trứng sữa
Custard Powder,bột làm bánh custard
Challots,Hành khô
charlotte potatoes,Khoai tây
Cheddar Cheese,phô mai dầy
Cheese,Phô mai
Cheese Curds,Phô mai tươi
Cherry Tomatoes,cà chua bi
chestnut mushroom,Nấm hạt dẻ
Chestnuts,hạt dẻ
Chicken,thịt gà
Chicken Bouillon Powder,Bột gà
Chicken Breast,Lườn gà
Chicken Breasts,Ức gà
Chicken drumsticks,"dùi gà
tỏi gà"
Chicken Legs,đùi gà
Chicken Liver,Gan Gà
Chicken Stock,Nước dùng gà
Chicken Stock Cube,Viên súp gà
Chicken Thighs,đùi gà
Chicken Wings,cánh gà
Chickpea Flour,Bột đậu gà
Chickpeas,đậu gà
Chili Powder,bột ớt
chilled butter,bơ lạnh
Chilli,Ớt
Chilli Bean Paste,tương ớt đậu
Chilli Flakes,Ớt khô mảnh
Chilli Powder,Bột ớt
Chilli Sauce,Tương ớt
Chimichurri sauce,sốt Chimichurri
Chinese broccoli,cải làn or cải rổ
Chinese Cabbage,cải thảo
Chinese five spice powder,ngũ vị hương
Chinese Leaf,Cải thảo
Chinese Long Beans,Đậu đũa
Chinese Sesame Sauce,sốt mè Trung Quốc
Chives,hẹ
Chocolate Chips,sô-cô-la chip
Chopped Chive,Hẹ băm
Chopped Onion,Hành băm
chopped parsley,ngò tây cắt nhỏ
Chopped Tomatoes,cà chua thái hạt lựu
Chorizo,Xúc xích Chorizo
Christmas Pudding,Bánh Giáng Sinh
Chuck Roast,thịt vai bò
Dark Brown Soft Sugar,Đường nâu mềm
Dark Brown Sugar,đường nâu đậm
Dark Chocolate,sô cô la đen
Dark Chocolate Chips,sô cô la đen chip
Dark Rum,Rượu rum đen
dark soft brown sugar,Đường nâu mềm
dark soy sauce,xì dầu đen
Demerara Sugar,Đường Demerara
Desiccated Coconut,cùi dừa sấy khô
Diced Tomatoes,cà chua thái hạt lựu
Digestive Biscuits,Bánh quy lúa mì nguyên cám
Dijon Mustard,Mù tạt Dijon
Dill,thì là
Dill Pickles,dưa chuột muối thì là
Doner Meat,Thịt Döner Kebab
Doubanjiang,tương ớt đậu
Double Cream,Kem béo kép
Dried Apricots,mơ khô
Dried cranberries,Nam Việt Quất sấy khô
Dried Cherries,Anh đào khô
Dried Chillies,ớt khô
Dried Fruit,hoa quả sấy
Dried Leaves Of Summer Savoury,Cây xà phòng mùa hè khô
Dried Mint,bạc hà khô
Dried Oregano,Kinh giới khô
Dried Red Chillies,Ớt đỏ khô
Dried Shrimp,tôm khô
Dried white beans,đậu trắng khô
Dried white corn,Ngô trắng khô
Dried White Navy Beans,Đậu navy trắng khô
Dry sherry,rượu sherry khô
Dry White Wine,Rượu vang trắng khô
Duck Legs,Đùi Vịt
Duck Sauce,tương đen
Dulce de leche,Sữa caramen
Dutch Stroop,Xi-rô Hà Lan
Egg,trứng
Egg Noodles,Mì
Egg Plants,cà tím
Egg Roll Wrappers,Vỏ chả giò
Egg Rolls,Chả giò
Egg Wash,trứng đánh tan
Egg White,lòng trắng trứng
Egg Yolks,lòng đỏ trứng
Eggs,trứng
Emmentaler Cheese,Phô mai Emmentaler
Enchilada sauce,Sốt Enchilada
English Muffins,Bánh nướng xốp
English Mustard,Mù tạt Anh
Extra Virgin Olive Oil,Dầu ô-liu nguyên chất
fajita seasoning,gia vị fajita
Falafel,Bánh falafel
farfalle,mì Ý
Fast action yeast,men nở nhanh
Feather blade beef,Lõi vai bò
Fennel,thì là
fennel bulb,thì là
fennel seeds,hạt thì là
fenugreek,"Cỏ ca ri, Hồ lô ba"
Fermented Black Beans,đậu đen lên men
Feta,Phô mai Feta
Fettuccine,Mì Fettuccine
Figs,quả vả
Fillet Of Steak,Thịt thăn bò
Filo Pastry,bánh phyllo
Fine Yellow Cornmeal,Bột ngô vàng mịn
Fish fillet,Cá phi-lê
Fish Sauce,nước mắm
Fish Stock,Nước hầm cá
Five Spice Powder,ngũ vị hương
flaked almonds,hạnh nhân lát
Flat Rice Noodles,Bánh phở
flax eggs,trứng hạt lanh
Flour,bột mì
flour tortilla,bánh tortilla bột mì
Floury Potatoes,khoai tây
Freekeh,Freekeh
"free-range egg, beaten",trứng gà thả vườn đánh tan
"free-range eggs, beaten",trứng gà thả vườn đánh tan
French Lentils,cây đậu lãng
fresh basil,húng quế
fresh thyme,cỏ xạ hương tươi
Freshly chopped parsley,ngò tây băm
Fried Ripe Bananas,Chuối Chiên
Fries,khoai tây chiên
Fromage Frais,phô mai tươi
Frozen Mixed Berries,Quả mọng hỗn hợp đông lạnh
Frozen Peas,đậu Hà Lan đông lạnh
Frozen Seafood mix,Hỗn hợp hải sản đông lạnh
Fruit Mix,Trái Cây Hỗn Hợp
Full fat sour cream,Kem chua béo
Full fat yogurt,Sữa chua nguyên kem
Galangal,riềng
Galangal Paste,riềng xay
Garam Masala,Gia vị Garam Masala
Garlic,tỏi
Garlic Bulb,Tỏi
Garlic Clove,té tỏi
Garlic Granules,Tỏi dạng hạt
Garlic Powder,Bột tỏi
Garlic sauce,Sốt tỏi
Gelatine Leafs,gelatin
German Sausages,Xúc xích Đức
Ghee,bơ sữa trâu hoặc bò lỏng
Glace Cherry,cherry ngâm đường
Goat Meat,Thịt Dê
Goats Cheese,Phô mai dê
Gochujang,Tương ớt Hàn Quốc
Golden Caster Sugar,Đường hạt vàng mịn
Golden Syrup,Xi-rô vàng
Goose Fat,mỡ ngỗng
Gouda cheese,Phô mai Gouda
Graham Cracker Crumbs,Vụn bánh quy Graham
Grand Marnier,Rượu mùi Grand Marnier
Granulated sugar,đường
Grape Nut Cereal,Ngũ cốc Grape Nut
Grape Tomatoes,cà chua bi
Greek Yogurt,Sữa chua
Green Beans,Đậu que
Green Chilli,Ớt xanh
Green Olives,quả ô liu xanh
Green Pepper,ớt chuông xanh
green red lentils,đậu lăng xanh và đỏ
Green Salsa,sốt xanh
Ground Allspice,Hạt tiêu Jamaica
ground almonds,bột hạnh nhân
Ground Annatto,Hột điều màu xay
Ground Beef,thịt bò xay
Ground Cardomom,bạch đậu khấu
Ground Cinnamon,quế xay
Ground Clove,Bột đinh hương
Ground Coriander,bột rau mùi
Ground Cumin,Bột thì là
Ground Ginger,Gừng xay
Ground Nut Oil,dầu đậu phụng
Ground Nutmeg,bột nhục đậu khấu
Ground Oats,Bột yến mạch
Ground Pistachios,Bột hồ trăn
Ground Poppy seeds,hạt anh túc xay
Ground Pork,Thịt lợn xay
Ground Sugar,đường bột
Gruyere,Phô mai Gruyère
Gruyère,Phô mai Gruyère
Gruyere cheese,Phô Mai Gruyère
Ginger,Gừng
ginger cordial,siro gừng
Ginger garlic paste,Gừng tỏi xay
Ginger paste,gừng xay
Haddock,cá êfin
Hake,Cá tuyết
Ham,Chả Lụa
Hard Taco Shells,Vỏ taco cứng
Haricot Beans,Đậu Haricot
Harissa Spice,Gia vị Harissa
Hazlenuts,Hạt phỉ
Heavy Cream,Kem béo
Herring,cá trích
High Heat Cooking Oil,Dầu ăn chịu nhiệt
Hind Shank,Bắp bò sau
Hispi (sweetheart) Cabbage,Bắp cải Hispi (bắp cải hình tim)
Hoisin Sauce,Tương Đen
Honey,mật ong
horseradish,củ cải ngựa
hot beef stock,nước dùng bò
Hot Chilli Powder,Bột ớt cay
Hot Smoked Flaked Salmon,Cá hồi hun khói nóng xé nhỏ
Hot smoked paprika,Bột paprika cay xông khói
Hotsauce,tương ớt
Hummus,Hummus
Ice Cream,kem
Iceberg Lettuce,xà lách búp
Icing Sugar,đường phủ
Instant Yeast,nấm men
Italian fennel sausages,xúc xích thì là
italian seasoning,Gia vị Ý
Jalapeno,Ớt Jalapeno
Jam,Mứt
Jamaican Curry Powder,Bột cà ri Jamaica
jamón ibérico,giăm bông Iberia
Jasmine Rice,Gạo Thơm
Jersey Royal Potatoes,Khoai tây Jersey Royal
Jerusalem Artichokes,củ sâm đất
Jumbo Shrimp,tôm cỡ lớn
Juniper Berries,quả bách xù
Kabanos Sausages,xúc xích Kabanos
Kabse Spice,Gia vị Kabsa
Kale,cải xoăn
Kidney Beans,Đậu tây
Kielbasa,xúc xích
King Prawns,tôm
Knafeh,Knafeh
Kosher Salt,Muối Kosher
Khus khus,hạt anh túc
Lamb,thịt cừu
Lamb Kidney,thận cừu
Lamb Leg,Đùi cừu
Lamb Loin Chops,Sườn cừu thăn
Lamb Mince,thịt cừu xay
Lamb Shanks,Thịt cừu ống chân
Lamb Shoulder,thịt cừu vai
Lamb Stock,Nước dùng thịt cừu
Lard,mỡ lợn
Lasagne Sheets,lá lasagne
lean minced beef,thịt bò xay nạc
Lean Minced Steak,Thịt bò xay nạc
Leek,tỏi tây
Lemon,quả chanh
lemon juice,nước chanh
Lemon Zest,Vỏ chanh bào
Lemons,chanh
Lemongrass,sả
Lemongrass Stalks,Xả
Lentils,đậu lăng
Lettuce,Xà lách
Light Brown Soft Sugar,Đường nâu nhạt
Lime,chanh lá cam
Lime juice,nước chanh
Lime Leaves,lá chanh
Linguine Pasta,Mì Linguine
Liquid Cheese,Phô mai lỏng
little gem lettuce,xà lách tí hon
Macaroni,mì ống
Mackerel,cá thu
Madras Paste,Cà Ri Madras
makrut lime leaves,lá chanh sác
Malai,Kem sữa béo
Malt Vinegar,Giấm mạch nha
manchego,phô mai Manchego
Maple Syrup,Xi-rô phong
Marinated Tofu,Đậu phụ ướp
marjoram,kinh giới
Mars Bar,Thanh Mars
Marzipan,Kẹo hạnh nhân
Mascarpone,Mascarpone
Massaman curry paste,Sốt cà ri Massaman
Mature Cheddar,phô mai dầy
Mayonnaise,sốt mayonnaise
Medjool dates,Chà là
Melted Butter,bơ tan chảy
meringue nests,tổ bánh trứng đường
Milk,sữa
Milk Chocolate,sô cô la sữa
Minced Beef,thịt bò xay
Minced garlic,tỏi băm
Minced Pork,thịt heo xay
Mincemeat,nhân quả băm
Miniature Marshmallows,kẹo dẻo nhỏ
Mint,Bạc hà
Mirin,Mirin
Mixed Beef Cuts,Thịt bò các loại
Mixed Grain,Ngũ cốc hỗn hợp
Mixed Peel,Mứt vỏ trái cây hỗn hợp
Mixed peppers,ớt hỗn hợp
Mixed Spice,Gia vị trộn
Molasses,mật đường
Monkfish,Cá quỷ
Monterey Jack Cheese,Phô mai Monterey Jack
Morcilla,Dồi tiết
Mozzarella,Phô mai Mozzarella
Mozzarella Balls,Phô mai Mozzarella viên
Mulukhiyah,Rau đay
Mung Bean Sprouts,giá đỗ
Muscovado Sugar,Đường muscovado
Mushrooms,Nấm
Mussels,con trai
Mustard,mù tạt
Mustard Powder,Bột mù tạt
Mustard Seeds,hạt mù tạc
Naan Bread,Bánh mì Naan
Napa Cabbage,cải thảo
Natural Yoghurt,sữa chua tự nhiên
New Potatoes,Khoai tây
Noodles,mì
Nutmeg,hạt nhục đậu khấu
Oatmeal,bột yến mạch
Oats,yến mạch
Oil,dầu
olive oil,dầu ô-liu
Onion,hành tây
onion salt,muối hành
Onions,hành
Orange,cam
Orange Blossom Water,Nước hoa cam
Orange Juice,Nước cam
Orange Zest,Vỏ cam bào
oregano,kinh giới
Oreo Cream Biscuits,Bánh quy kem Oreo
Oxtail,đuôi bò
Oyster Mushrooms,Nấm sò
Oyster Sauce,dầu hào
Oysters,con hàu
Paccheri Pasta,Mì Paccheri
Padron peppers,Ớt Padron
Paella Rice,Gạo Paella
Pak Choi,Cải thìa
Palm Sugar,đường thốt nốt
Panang Curry Paste,Sốt cà ri Panang
Paneer,Phô mai Paneer
Paprika,ớt Hung
Parma ham,thịt giăm bông Parma
Parmesan,phô mai Parmesan
Parmesan Cheese,phô mai Parmesan
Parmigiano-Reggiano,phô mai parmesan
Parsley,ngò tây
Passata,Cà chua xay nhuyễn
Passion Fruit Pulp,Cốt chanh leo
Peach Juice,Nước ép đào
Peaches,đào
Peanut Brittle,kẹo lạc
Peanut Butter,bơ lạc
Peanut Cookies,Bánh quy đậu phộng
peanut oil,dầu lạc
Peanuts,Đậu phụng
Pears,lê
Peas,đậu Hà Lan
Pecan Nuts,Hạt hồ đào
pecorino,phô mai pecorino
penne rigate,Mì penne sọc
Pepper,tiêu
Peppercorns,hột tiêu
Petit Pois,Đậu Hà Lan non
Pickle Juice,Nước dưa muối
Pico De Gallo Sauce,Sốt Pico De Gallo
Pilchards,Cá trích tròn
Pine nuts,hạt thông
Pineapple Chunks,miếng dứa
Pineapple Juice,Nước ép dứa
Pink Food Colouring,màu thực phẩm hồng
Pinto Beans,Đậu Pinto
Pistachio,quả hồ trăn
Pistachio Paste,Bột hồ trăn
Pita Bread,Bánh pita
pitted black olives,ô liu đen bỏ hạt
Pitted Dates,Chà là
Plain Chocolate,sô cô la nguyên chất
Plain Flour,bột mì
Plum Jam,Mứt mận
Plum Sauce,Tương mận
Plum Tomatoes,cà chua mận
Polish Kabanos,Xúc xích Kabanos Ba Lan
Pomegranate,quả lựu
Pomegranate Molasses,mật lựu
Poppy Seeds,hạt anh túc
Pork,Thịt heo
Pork Back Ribs,Sườn cốt lết
Pork belly slices,Thịt ba rọi
Pork Chops,Sườn heo
Pork knuckle,Giò heo
Pork Shoulder,Thịt vai heo
Pork Shoulder Steaks,thịt vai heo lát
Pork Tenderloin,Thăn heo
Porridge oats,bột yến mạch
Potato starch,tinh bột khoai tây
Potatoes,khoai tây
Powdered Sugar,đường
Prawns,tôm
Pretzels,bánh quy xoắn
Prosciutto,thịt giăm-bông
Prunes,mận khô
Puff Pastry,bột nở
Pul Biber,Ớt mảnh
Pumpkin,bí đỏ
Purple Sprouting Broccoli,Bông cải xanh tím
Phyllo Dough,Bột Phyllo
Quinoa,hạt diêm mạch
Radish,củ cải
Rainbow Trout,Cá hồi vân
Raisins,nho khô
Rapeseed Oil,Dầu hạt cải
Ras el hanout,Gia vị Ras el hanout
Raspberries,quả mâm xôi
raspberry jam,mứt quả mâm xôi
Raw Frozen Prawns,Tôm đông lạnh sống
Raw King Prawns,tôm tươi
Raw tiger prawns,Tôm sú sống
Raw Vegetables,rau sống
Ready rolled shortcrust pastry,Vỏ bánh ngọt cán sẵn
Red Cabbage,bắp cải đỏ
Red Chilli,ớt đỏ
Red Chilli Flakes,ớt khô
Red Chilli powder,Ớt bột
Red Onions,hành tây đỏ
Red Pepper,ớt đỏ
Red Pepper Flakes,ớt mảnh
Red Pepper Paste,Tương ớt
Red Potatoes,Khoai tây đỏ
Red Snapper,cá hồng
Red Wine,rượu vang đỏ
Red Wine Jelly,Thạch rượu vang đỏ
Red Wine Vinegar,Giấm rượu vang đỏ
Redcurrants,quả lý chua
Refried Beans,chè đậu nghiền
Rhubarb,đại hoàng
Rice,Gạo
Rice Flour Pancakes,Bánh Xèo
Rice Krispies,Bánh gạo giòn
Rice Noodles,Bún
Rice Paper Sheets,bánh tráng
rice stick noodles,Bánh phở
Rice Vermicelli,bún
Rice Vinegar,giấm gạo
Rice wine,rượu gạo
Ricotta,Phô mai Ricotta
rigatoni,Rigatoni
Roasted Peanut,đậu phộng rang
Roasted pepper,Ớt chuông nướng
Roasted Vegetables,Rau củ nướng
Rocket,Rau Arugula
rolled oats,yến mạch cán dẹt
Romano Pepper,Ớt chuông Romano
Rose water,Nước hoa hồng
Rosemary,hương thảo
Russet Potato,Khoai tây
Rye,lúa mạch đen
Rye Bread,bánh mỳ đen
Saffron,nghệ tây
Sage,cây xô thơm
Sake,rượu sake
salmon,Cá hồi
salsa,nước sốt salsa
Salt,muối
Salt Cod,cá tuyết muối
Salted Butter,bơ có muối
Sardines,cá mòi
Saskatoon Berries,quả saskatoon
Sauerkraut,bắp cải ngâm giấm
Sausages,xúc xích
Savoy Cabbage,cải bắp
Sazon,Gia vị
Scallions,hành
Scotch Bonnet,Ớt Scotch Bonnet
Sea Bass Fillets,Cá chẽm phi lê
Sea Salt,muối biển
Seafood stock,nước dùng hải sản
Seasoned Rice Vinegar,giấm gạo tẩm gia vị
Seasoning,gia vị
Self-raising Flour,Bột mì tự nở
Semi-skimmed Milk,sữa đã được gạn một phần kem
Semolina,bột báng
Semolina Flour,bột báng
Serrano Ham,giăm bông Serrano
Sesame Seed,Hạt mè
Sesame Seed Burger Buns,Bánh mì kẹp vừng
Sesame Seed Oil,dầu mè
Sevaiiya,bún sợi mỏng
Shallots,hành tím
Shaoxing Wine,Rượu Thiệu Hưng
Shelled Hazelnuts,Hạt phỉ đã tách vỏ
Sherry,rượu Sherry
Sherry vinegar,Giấm Sherry
Shiitake Mushrooms,nấm hương
Shortcrust Pastry,bánh giòn
Shortening,mỡ trừu
Shredded Coconut,dừa nạo
Shredded Meat,Chà bông
Shredded Mexican Cheese,Phô mai Mexico bào sợi
shredded Monterey Jack cheese,phô mai Monterey Jack bào sợi
Shrimp,tôm
Shrimp Paste,mắm tôm
Shrimp Stock,Nước dùng tôm
Sichuan pepper,Hạt tiêu Tứ Xuyên
Silken Tofu,Đậu hũ non
Single Cream,kem
Sirloin steak,thịt bò thăn
Sirloin Steak tips,Nạc thăn
Skirty Steak,Các miếng bít tết nhỏ
Small Potatoes,Khoai tây nhỏ
Smoked Haddock,cá êfin
Smoked Paprika,bột paprika xông khói
Smoked Salmon,Cá hồi hun khói
Smoky Aïoli,Sốt Aïoli khói
smoky paprika,bột paprika xông khói
Snow Peas,Đậu Hà Lan
Soda Water,nước xô đa
Sour Cream,Kem chua
Soured cream and chive dip,Sốt kem chua và hẹ
Soy Sauce,nước tương
Soya Bean,đậu nành
soya milk,sữa đậu nành
Spaghetti,mỳ Ý
Speculaas Spice Mix,Bột gia vị Speculaas
Spinach,Rau bó xôi
Spring Onions,hành tươi
Squash,Bí
Squid,mực ống
Stale bread,bánh mì khô
Star Anise,Hoa hồi
Starch,tinh bột
Stilton Cheese,Phô mai Stilton
stir-fry vegetables,rau xào
Stoned Dates,chà là bỏ hạt
Stout,Bia đen
Strawberries,dâu tây
Streaky Bacon,thịt ba rọi xông khói
Strong white bread flour,Bột mì trắng có hàm lượng protein cao
Strong White Flour,Bột mì trắng có hàm lượng protein cao
Strong Wholemeal Flour,Bột mì nguyên cám mạnh
Suet,mỡ cứng
Sugar,đường
Sugar Snap Peas,Đậu Hà Lan ngọt
Sugar Syrup,Xi rô đường
sultanas,nho xuntan
Sumac,cây thù du
Sun-Dried Tomatoes,cà chua khô
Sunflower Oil,Dầu hướng dương
Sushi Rice,Gạo làm sushi
Swede,củ cải Thụy Điển
sweet chilli sauce,tương ớt ngọt
Sweet Peppadew Peppers,Ớt Piquanté ngọt
Sweet Potatoes,khoai lang
Sweet Red Peppers,ớt chuông đỏ
Sweet Sherry,Rượu sherry ngọt
sweet smoked paprika,bột paprika xông khói ngọt
Sweetcorn,hạt bắp
Sweetened Condensed Milk,sữa đặc
Szechuan Peppercorns,Xuyên Tiêu
Tabasco Sauce,Sốt Tabasco
Tahini,Bơ mè
Tahini Paste,Sốt Tahini
Tamarind ball,Viên me
Tamarind Paste,Mứt me
Tamarind Pulp,cây me
Tarragon Leaves,Lá rau ngải giấm
Tempeh,Tempeh
Tiger Prawns,Tôm sú
Tinned Tomatos,Cà chua đóng hộp
Toast,bánh mỳ nướng
Toffee Popcorn,bỏng ngô kẹo bơ cứng
Tofu,đậu phụ
Tomato,cà chua
Tomato Ketchup,tương cà chua
Tomato Puree,Sốt cà chua
Tomato Purée,sốt cà chua
Tomato Sauce,Sốt cà chua
Tomatoes,cà chua
Toor dal,Đậu triều
Tortillas,Bánh tortilla
Tuna,cá ngừ
Turkey,Thịt gà tây
Turkey Ham,Giăm bông gà tây
Turkey Mince,thịt gà tây xay
Turkish Delight,Lokum
Turmeric,củ nghệ
Turmeric Powder,Nghệ Bột
Turnips,củ cải
Thai Chilli Jam,Tương ớt Thái
Thai fish sauce,nước mắm
Thai green curry paste,Cà ri xanh Thái
Thai Red Curry Paste,Tương ớt đỏ Thái Lan
thyme,húng tây
Trout,cá hồi
Truffle Oil,Dầu nấm cục
Udon Noodles,Bánh Canh
Unflavoured Gelatin,Gelatin không mùi
Unsalted Beef Stock,Nước dùng bò không muối
Unsalted Butter,bơ lạt
Unsalted Pistachio,Hồ trăn không muối
Unsweetened Cocoa,Ca cao không đường
Unsweetened Coconut Milk,sữa dừa không đường
Unwaxed Lemon,Chanh không sáp
Unwaxed Lime,Chanh
vanilla,vani
Vanilla Bean Paste,Hương vani
Vanilla Extract,Tinh chất vani
vanilla pod,quả vani
vanilla sugar,đường vani
västerbottensost cheese,phô mai Västerbottensost
Veal,thịt bê
vegan butter,bơ thực vật
Vegan White Wine Vinegar,Giấm rượu vang trắng thuần chay
Vegetable Oil,dầu thực vật
Vegetable Shortening,Mỡ trừu thực vật
Vegetable Stock,Nước dùng rau củ
vegetable stock cube,viên nước dùng
Vermicelli Pasta,Bún
Vermicelli Rice Noodles,bún
Vinaigrette Dressing,dầu giấm
vine leaves,lá nho
Vine Tomatoes,Cà chua
Vinegar,dấm
Walnuts,quả óc chó
water,Nước
Water Chestnut,củ năng
Whipping Cream,kem tươi
White Asparagus,Măng tây trắng
White bread,Bánh mì trắng
White Bread Mix,Hỗn hợp bánh mì trắng
White Cabbage,Bắp cải
White Cornmeal,bột ngô trắng
White Chocolate,sô cô la trắng
White Chocolate Chips,Hạt sô cô la trắng
White Fish,cá thịt trắng
White Fish Fillets,Phi lê cá trắng
White Flour,bột mì
White Sauerkraut,bắp cải ngâm giấm
White Vinegar,Giấm trắng
White Wine,rượu vang trắng
White Wine Vinegar,giấm trắng
White Yam,củ từ
Whole black peppercorns,hạt tiêu đen
Whole Milk,Sữa tươi nguyên kem
whole wheat,lúa mì nguyên hạt
Wholegrain Bread,Bánh mì nguyên hạt
Wholegrain Mustard,mù tạc nguyên hạt
Wild Garlic Leaves,Lá tỏi gấu
Wild Mushrooms,Nấm dại
Wonton Skin,Vỏ hoành thánh
Wood Ear Mushrooms,mộc nhĩ
Worcestershire Sauce,Sốt Worcestershire
Yautia,khoai môn
Yeast,men
Yellow Food Colouring,Màu thực phẩm vàng
Yellow Masarepa,Bột ngô vàng nấu sẵn
Yellow Pepper,ớt vàng
Yellow Split Peas,Đậu Hà Lan vàng tách đôi
Yogurt,sữa chua
zucchini,cây bí vỏ xanh thẫm
