recipe_code,category,category_vn,area,area_vn,name_en,name_vi
sweet-potato-salad,Vegetarian,Chay,Turkish,Thổ Nhĩ Kỳ,Sweet potato salad,Nộm khoai lang
escovitch-fish,Seafood,Hải sản,Jamaican,Jamaica,Escovitch Fish,Cá Ngâm Giấm
arepa-pelua,Beef,Thịt bò,Venezulan,Venezuela,Arepa pelua,Bánh arepa bò xé phô mai
bubble--squeak,Pork,Thịt heo,British,Anh,Bubble & Squeak,Bánh khoai tây bắp cải chiên
vietnamese-veg-parcels,Vegetarian,Chay,Vietnamese,Việt Nam,Vietnamese veg parcels,Gỏi cuốn chay
chocolate-raspberry-brownies,Dessert,Món tráng miệng,American,Mỹ,Chocolate Raspberry Brownies,Bánh brownie sô-cô-la mâm xôi
vietnamese-pork-salad,Pork,Thịt heo,Vietnamese,Việt Nam,Vietnamese pork salad,Gỏi thịt heo
15-minute-chicken--halloumi-burgers,Chicken,Thịt gà,American,Mỹ,15-minute chicken & halloumi burgers,Bánh burger gà & phô mai Halloumi 15 phút
cream-cheese-tart,Starter,Món khai vị,American,Mỹ,Cream Cheese Tart,Bánh tart phô mai kem
home-made-mandazi,Breakfast,Bữa sáng,Kenyan,Kenya,Home-made Mandazi,Bánh Mandazi nhà làm
apple-cake,Dessert,Món tráng miệng,Dutch,Hà Lan,Apple cake,Bánh táo
kvæfjord-cake-verdens-beste-worlds-best-cake,Dessert,Món tráng miệng,Norwegian,Na Uy,Kvæfjord Cake “Verdens Beste” (World’s Best Cake),Bánh Na Uy
imam-bayildi-with-bbq-lamb--tzatziki,Lamb,Thịt cừu,Turkish,Thổ Nhĩ Kỳ,Imam bayildi with BBQ lamb & tzatziki,Cà tím nhồi nướng thịt cừu BBQ và sốt Tzatziki
jamon--wild-garlic-croquetas,Pork,Thịt heo,Spanish,Tây Ban Nha,Jamon & wild garlic croquetas,Bánh chiên Jamón tỏi rừng
shrimp-chow-fun,Seafood,Hải sản,Chinese,Tiếng Trung,Shrimp Chow Fun,Hủ Tiếu Xào Tôm
lamb-and-potato-pie,Lamb,Thịt cừu,British,Anh,Lamb and Potato pie,Bánh cừu khoai tây
algerian-flafla-bell-pepper-salad,Vegetarian,Chay,Algerian,Algeria,Algerian Flafla (Bell Pepper Salad),Gỏi ớt chuông
teriyaki-chicken-casserole,Chicken,Thịt gà,Japanese,Nhật Bản,Teriyaki Chicken Casserole,Cơm Gà Teriyaki Nướng
fish-soup-ukha,Seafood,Hải sản,Russian,Nga,Fish Soup (Ukha),Súp cá
walnut-roll-gužvara,Dessert,Món tráng miệng,Croatian,Croatia,Walnut Roll Gužvara,Bánh Cuộn Hồ Đào
cheese-borek,Side,Món ăn kèm,Algerian,Algeria,Cheese Borek,Bánh phô mai
yaki-udon,Vegetarian,Chay,Japanese,Nhật Bản,Yaki Udon,Mì Udon Xào
provençal-omelette-cake,Vegetarian,Chay,French,Pháp,Provençal Omelette Cake,Bánh Omelette Provençal
thai-style-fish-broth-with-greens,Seafood,Hải sản,Thai,Thái,Thai-style fish broth with greens,Canh cá kiểu Thái
turkish-lahmacun,Beef,Thịt bò,Vietnamese,Việt Nam,Turkish lahmacun,Bánh pizza Thổ Nhĩ Kỳ
thai-green-curry,Chicken,Thịt gà,Thai,Thái,Thai Green Curry,Cà Ri Xanh Thái
asado,Beef,Thịt bò,Argentinian,Argentina,Asado,Thịt Nướng
cucumber--fennel-salad,Vegetarian,Chay,Polish,Ba Lan,Cucumber & fennel salad,Gỏi dưa chuột và thì là
beef-pho,Beef,Thịt bò,Vietnamese,Việt Nam,Beef pho,Phở Bò
beef-rendang,Beef,Thịt bò,Malaysian,Malaysia,Beef Rendang,Cà Ri Bò Rendang
keleya-zaara,Lamb,Thịt cừu,Tunisian,Tunisia,Keleya Zaara,Cừu Sốt Nghệ Tây
turkey-bánh-mì,Miscellaneous,Hỗn hợp,Vietnamese,Việt Nam,Turkey Bánh mì,Bánh mì Gà tây
barramundi-with-moroccan-spices,Seafood,Hải sản,Australian,Úc,Barramundi with Moroccan spices,Cá Barramundi với Gia Vị Ma-rốc
red-peas-soup,Beef,Thịt bò,Jamaican,Jamaica,Red Peas Soup,Súp Đậu Đỏ
tandoori-chicken,Chicken,Thịt gà,Indian,Ấn Độ,Tandoori chicken,Gà Tandoori
cashew-ghoriba-biscuits,Dessert,Món tráng miệng,Tunisian,Tunisia,Cashew Ghoriba Biscuits,Bánh quy hạt điều
chocolate-avocado-mousse,Dessert,Món tráng miệng,British,Anh,Chocolate Avocado Mousse,Mousse bơ sô cô la
corba,Side,Món ăn kèm,Turkish,Thổ Nhĩ Kỳ,Corba,Canh
beef-banh-mi-bowls-with-sriracha-mayo-carrot--pickled-cucumber,Beef,Thịt bò,Vietnamese,Việt Nam,"Beef Banh Mi Bowls with Sriracha Mayo, Carrot & Pickled Cucumber",Bún Bò Cà Rốt và Dưa Chua
cinnamon-buns,Dessert,Món tráng miệng,Norwegian,Na Uy,Cinnamon buns,Bánh cuộn quế
boulangère-potatoes,Side,Món ăn kèm,French,Pháp,Boulangère Potatoes,Khoai Tây Boulangère
bakewell-tart,Dessert,Món tráng miệng,British,Anh,Bakewell tart,Bánh tart mứt hạnh nhân
new-york-cheesecake,Dessert,Món tráng miệng,American,Mỹ,New York cheesecake,Bánh phô mai New York
beef-dumpling-stew,Beef,Thịt bò,British,Anh,Beef Dumpling Stew,Bò Kho Bánh Giò
zemiakové-placky,Side,Món ăn kèm,Slovakian,Slovakia,Zemiakové Placky,Bánh khoai tây chiên
rømmegrøt--norwegian-sour-cream-porridge,Breakfast,Bữa sáng,Norwegian,Na Uy,Rømmegrøt – Norwegian Sour Cream Porridge,Cháo Kem Chua Na Uy
thai-beef-stir-fry,Beef,Thịt bò,Thai,Thái,Thai beef stir-fry,Bò xào kiểu Thái
sauerkraut-pierogii,Vegetarian,Chay,Ukrainian,ukraine,Sauerkraut pierogii,Bánh xếp bắp cải ngâm giấm
pan-fried-hake-white-bean--chorizo-broth,Seafood,Hải sản,Spanish,Tây Ban Nha,"Pan-fried hake, white bean & chorizo broth","Cá tuyết áp chảo, súp đậu trắng và xúc xích chorizo"
mee-goreng-mamak,Seafood,Hải sản,Malaysian,Malaysia,Mee goreng mamak,Mì xào Mã Lai
slow-roasted-ham-with-lemon-garlic--sage,Pork,Thịt heo,Polish,Ba Lan,"Slow-roasted ham with lemon, garlic & sage","Giăm bông quay chậm với chanh, tỏi, và xô thơm"
brun-lapskaus-norwegian-beef-vegetable-stew,Beef,Thịt bò,Norwegian,Na Uy,Brun Lapskaus (Norwegian Beef Vegetable Stew),Thịt bò hầm rau củ Na Uy
peanut-butter-cheesecake,Dessert,Món tráng miệng,American,Mỹ,Peanut Butter Cheesecake,Bánh phô mai bơ đậu phộng
apple--blackberry-crumble,Dessert,Món tráng miệng,British,Anh,Apple & Blackberry Crumble,Bánh táo và mâm xôi nướng giòn
norwegian-potato-lefse,Side,Món ăn kèm,Norwegian,Na Uy,Norwegian Potato Lefse,Bánh khoai tây Na Uy
chicken-congee,Chicken,Thịt gà,Chinese,Tiếng Trung,Chicken Congee,Cháo Gà
jerk-chicken-with-rice--peas,Chicken,Thịt gà,Jamaican,Jamaica,Jerk chicken with rice & peas,Gà Jerk với cơm đậu
postre-chajá,Dessert,Món tráng miệng,Uruguayan,Uruguay,Postre Chajá,Bánh Mousse Đào Meringue
chorba-hamra-bel-frik-algerian-lamb-tomato-and-freekeh-soup,Lamb,Thịt cừu,Algerian,Algeria,"Chorba Hamra bel Frik (Algerian Lamb, Tomato, and Freekeh Soup)",Súp Cừu Cà Chua và Hạt Freekeh Algeria
turkish-lamb-pilau,Lamb,Thịt cừu,Turkish,Thổ Nhĩ Kỳ,Turkish lamb pilau,Cơm cừu Thổ Nhĩ Kỳ
seafood-rice,Seafood,Hải sản,Spanish,Tây Ban Nha,Seafood rice,Cơm chiên hải sản
chocolate-churros-with-chocolate--salted-caramel-sauce,Dessert,Món tráng miệng,Spanish,Tây Ban Nha,Chocolate churros with chocolate & salted caramel sauce,Churros sô cô la kèm sốt sô cô la và caramel muối
egg-foo-young,Seafood,Hải sản,Chinese,Tiếng Trung,Egg Foo Young,Trứng chiên thịt
krispy-kreme-donut,Dessert,Món tráng miệng,American,Mỹ,Krispy Kreme Donut,Bánh Donut
bean--sausage-hotpot,Miscellaneous,Hỗn hợp,British,Anh,Bean & Sausage Hotpot,Lẩu Đậu và Xúc Xích
chicken-alfredo-primavera,Chicken,Thịt gà,Italian,Ý,Chicken Alfredo Primavera,Gà Alfredo Rau Củ
cornes-de-gazelle-gazelle-horns,Dessert,Món tráng miệng,Algerian,Algeria,Cornes de Gazelle (Gazelle Horns),Bánh Sừng Hươu
beef-and-oyster-pie,Beef,Thịt bò,British,Anh,Beef and Oyster pie,Bánh Thịt Bò và Hàu
cumberland-pie,Beef,Thịt bò,British,Anh,Cumberland Pie,Bánh pie Cumberland
summer-pistou,Vegetarian,Chay,French,Pháp,Summer Pistou,Sốt húng quế mùa hè
ham-croquetas,Pork,Thịt heo,Spanish,Tây Ban Nha,Ham croquetas,Chả lụa
oatmeal-pancakes,Breakfast,Bữa sáng,Venezulan,Venezuela,Oatmeal pancakes,Bánh kếp yến mạch
shakshuka,Vegetarian,Chay,Egyptian,Ai cập,Shakshuka,Trứng hấp sốt cà chua
broccoli--stilton-soup,Starter,Món khai vị,British,Anh,Broccoli & Stilton soup,Súp bông cải xanh phô mai Stilton
canadian-butter-tarts,Dessert,Món tráng miệng,Canadian,Ca-na-đa,Canadian Butter Tarts,Bánh tart bơ
tourtiere,Pork,Thịt heo,Canadian,Ca-na-đa,Tourtiere,Bánh Pâté Chảo
bigos-polish-hunters-stew,Beef,Thịt bò,Polish,Ba Lan,Bigos (Polish hunter's stew),Súp hầm thợ săn Ba Lan
thai-pork--peanut-curry,Pork,Thịt heo,Thai,Thái,Thai pork & peanut curry,Cà Ri Heo Đậu Phộng (Thái)
jamaican-cornmeal-porridge,Breakfast,Bữa sáng,Jamaican,Jamaica,Jamaican Cornmeal Porridge,Cháo Bột Ngô
torta-de-fiambre,Pork,Thịt heo,Uruguayan,Uruguay,Torta de fiambre,Bánh mặn giăm bông phô mai
mcsinghs-scotch-pie,Lamb,Thịt cừu,British,Anh,McSinghs Scotch pie,Bánh Pâté Sô
crock-pot-chicken-baked-tacos,Chicken,Thịt gà,Mexican, Mexico,Crock Pot Chicken Baked Tacos,Taco Gà Nướng Nồi Hầm
tom-yum-hot--sour-soup-with-prawns,Seafood,Hải sản,Thai,Thái,Tom yum (hot & sour) soup with prawns,Canh Tom Yum (chua cay) với tôm
vegan-lasagna,Vegan,Thuần chay,Italian,Ý,Vegan Lasagna,Lasagna Chay
syrian-spaghetti,Pasta,Mì,Syrian,Syria,Syrian Spaghetti,Mỳ Ý Syria
jam-roly-poly,Dessert,Món tráng miệng,British,Anh,Jam Roly-Poly,Bánh cuộn mứt dâu
alfajores,Dessert,Món tráng miệng,Argentinian,Argentina,Alfajores,Bánh quy kẹp
chicken-handi,Chicken,Thịt gà,Indian,Ấn Độ,Chicken Handi,Gà Handi
purple-sprouting-broccoli-tempura-with-nuoc-cham,Miscellaneous,Hỗn hợp,Vietnamese,Việt Nam,Purple sprouting broccoli tempura with nuoc cham,Bông cải xanh tempura chấm nước chấm
pear-tarte-tatin,Dessert,Món tráng miệng,French,Pháp,Pear Tarte Tatin,Bánh Tarte Tatin Lê
callaloo-jamaican-style,Miscellaneous,Hỗn hợp,Jamaican,Jamaica,Callaloo Jamaican Style,Rau Hấp
bigos-hunters-stew,Pork,Thịt heo,Polish,Ba Lan,Bigos (Hunters Stew),Thịt hầm kiểu Thợ Săn
karbonader-lean-beef-patties-with-caramelized-onions,Beef,Thịt bò,Norwegian,Na Uy,Karbonader (Lean Beef Patties) with Caramelized Onions,Bò áp chảo hành tây
piri-piri-chicken-and-slaw,Chicken,Thịt gà,Portuguese,Bồ Đào Nha,Piri-piri chicken and slaw,Gà Piri-piri và Gỏi Bắp Cải
pork-rib-bortsch,Pork,Thịt heo,Polish,Ba Lan,Pork rib bortsch,Súp củ dền sườn heo
griddled-flatbreads,Side,Món ăn kèm,Turkish,Thổ Nhĩ Kỳ,Griddled flatbreads,Bánh mì dẹt nướng
clam-chowder,Starter,Món khai vị,American,Mỹ,Clam chowder,Nghêu Chowder Kiểu Mỹ
lamb-and-lemon-souvlaki,Lamb,Thịt cừu,Greek,Hy Lạp,Lamb and Lemon Souvlaki,Thịt cừu nướng chanh
fish-pie,Seafood,Hải sản,British,Anh,Fish pie,Bánh cá
three-cheese-souffles,Miscellaneous,Hỗn hợp,French,Pháp,Three-cheese souffles,Suflê Ba Phô Mai
dziriat-algerian-almond-tarts,Dessert,Món tráng miệng,Algerian,Algeria,Dziriat (Algerian Almond Tarts),Bánh tart hạnh nhân Algeria
jamaican-steamed-cabbage,Side,Món ăn kèm,Jamaican,Jamaica,Jamaican Steamed Cabbage,Bắp cải xào kiểu Jamaica
tahini-lentils,Vegetarian,Chay,Moroccan,Ma-rốc,Tahini Lentils,Đậu lăng sốt mè
wontons,Pork,Thịt heo,Chinese,Tiếng Trung,Wontons,Hoành Thánh
bbq-pork-sloppy-joes,Pork,Thịt heo,American,Mỹ,BBQ Pork Sloppy Joes,Bánh Mì Kẹp Thịt Heo BBQ Sốt
creamy-tomato-soup,Starter,Món khai vị,British,Anh,Creamy Tomato Soup,Súp cà chua kem
air-fryer-egg-rolls,Side,Món ăn kèm,Chinese,Tiếng Trung,Air Fryer Egg Rolls,Chả Giò Chiên Không Dầu
barbecue-pork-buns,Pork,Thịt heo,Vietnamese,Việt Nam,Barbecue pork buns,Bánh bao xá xíu
beef-mandi,Beef,Thịt bò,Indian,Ấn Độ,Beef Mandi,Món Mandi Bò
piernik-polish-gingerbread,Dessert,Món tráng miệng,Polish,Ba Lan,Piernik (Polish gingerbread),Bánh gừng
apple-frangipan-tart,Dessert,Món tráng miệng,British,Anh,Apple Frangipan Tart,Bánh Tarte Táo Frangipane
sweet-and-sour-chicken,Chicken,Thịt gà,Chinese,Tiếng Trung,Sweet and Sour Chicken,Gà xào chua ngọt
aubergine--hummus-grills,Vegetarian,Chay,Turkish,Thổ Nhĩ Kỳ,Aubergine & hummus grills,Cà tím nướng sốt hummus
shakshouka,Miscellaneous,Hỗn hợp,Saudi Arabian,Ả Rập Xê Út,Shakshouka,Trứng poached sốt cà chua
napa-cabbage-with-dried-shrimp,Seafood,Hải sản,Chinese,Tiếng Trung,Napa Cabbage with Dried Shrimp,Cải Napa Tôm Khô
clam-chorizo--white-bean-stew,Seafood,Hải sản,Spanish,Tây Ban Nha,"Clam, chorizo & white bean stew","Súp nghêu, xúc xích và đậu trắng"
vietnamese-prawn-spiralized-rolls,Seafood,Hải sản,Vietnamese,Việt Nam,Vietnamese prawn spiralized rolls,Gỏi cuốn tôm
chicken-basquaise,Chicken,Thịt gà,French,Pháp,Chicken Basquaise,Gà Hầm Kiểu Basque
thai-rice-noodle-salad,Vegetarian,Chay,Thai,Thái,Thai rice noodle salad,Gỏi Bún Thái
arroz-con-gambas-y-calamar,Seafood,Hải sản,Spanish,Tây Ban Nha,Arroz con gambas y calamar,Cơm chiên tôm mực
warm-roast-asparagus-salad,Pork,Thịt heo,Australian,Úc,Warm roast asparagus salad,Gỏi măng tây nướng ấm
apricot--turkish-delight-mess,Dessert,Món tráng miệng,Turkish,Thổ Nhĩ Kỳ,Apricot & Turkish delight mess,Món tráng miệng mơ và kẹo dẻo Thổ Nhĩ Kỳ
beetroot-soup-borscht,Vegetarian,Chay,Ukrainian,ukraine,Beetroot Soup (Borscht),Súp Củ Dền
kung-po-prawns,Seafood,Hải sản,Chinese,Tiếng Trung,Kung Po Prawns,Tôm Kung Pao
yorkshire-puddings,Miscellaneous,Hỗn hợp,British,Anh,Yorkshire Puddings,Bánh Yorkshire
mediterranean-pasta-salad,Seafood,Hải sản,Italian,Ý,Mediterranean Pasta Salad,Gỏi Mì Ý Địa Trung Hải
grape-nut-ice-cream,Dessert,Món tráng miệng,Jamaican,Jamaica,Grape Nut Ice Cream,Kem Nho Khô
drunken-noodles-pad-kee-mao,Beef,Thịt bò,Thai,Thái,Drunken noodles (pad kee mao),Mì Say
chocolate-empanadas,Dessert,Món tráng miệng,Uruguayan,Uruguay,Chocolate empanadas,Bánh gối sô cô la
thai-coconut--veg-broth,Vegetarian,Chay,Thai,Thái,Thai coconut & veg broth,Súp dừa rau kiểu Thái
kedgeree,Seafood,Hải sản,British,Anh,Kedgeree,Cơm trộn cá hun khói
spanish-chicken,Chicken,Thịt gà,Spanish,Tây Ban Nha,Spanish Chicken,Gà Tây Ban Nha
coddled-pork-with-cider,Pork,Thịt heo,Irish,Ai-len,Coddled pork with cider,Thịt heo hầm rượu táo
eggplant-adobo,Vegetarian,Chay,Filipino,Philippines,Eggplant Adobo,Cà tím kho
stuffed-lamb-tomatoes,Lamb,Thịt cừu,Greek,Hy Lạp,Stuffed Lamb Tomatoes,Cà Chua Nhồi Thịt Cừu
madeira-cake,Dessert,Món tráng miệng,British,Anh,Madeira Cake,Bánh Madeira
beef-sunday-roast,Beef,Thịt bò,British,Anh,Beef Sunday Roast,Thịt bò nướng
jamaican-fried-dumplings,Side,Món ăn kèm,Jamaican,Jamaica,Jamaican Fried Dumplings,Bánh bao chiên kiểu Jamaica
cassava-pizza,Pork,Thịt heo,Venezulan,Venezuela,Cassava pizza,Pizza khoai mì
baingan-bharta,Vegetarian,Chay,Indian,Ấn Độ,Baingan Bharta,Cà tím nghiền cay
szechuan-beef,Beef,Thịt bò,Chinese,Tiếng Trung,Szechuan Beef,Bò Tứ Xuyên
pistachio-kunafa-chocolate-cake-and-cupcakes,Dessert,Món tráng miệng,Saudi Arabian,Ả Rập Xê Út,Pistachio Kunafa Chocolate Cake and Cupcakes,Bánh Sô-cô-la Kunafa Hồ Trăn và Bánh Cupcake
blini-pancakes,Side,Món ăn kèm,Russian,Nga,Blini Pancakes,Bánh Blini
salmon-noodle-wraps,Seafood,Hải sản,Vietnamese,Việt Nam,Salmon noodle wraps,Gỏi Cuốn Cá Hồi
vegan-banh-mi,Vegan,Thuần chay,Vietnamese,Việt Nam,Vegan banh mi,Bánh mì chay
gigantes-plaki,Vegetarian,Chay,Greek,Hy Lạp,Gigantes Plaki,Đậu nướng sốt cà chua
french-lentils-with-garlic-and-thyme,Miscellaneous,Hỗn hợp,French,Pháp,French Lentils With Garlic and Thyme,Đậu lăng kiểu Pháp với tỏi và cỏ xạ hương
mamoul-eid-biscuits,Dessert,Món tráng miệng,Saudi Arabian,Ả Rập Xê Út,Mamoul (Eid biscuits),Bánh quy Mamoul (bánh quy Eid)
coq-au-vin,Chicken,Thịt gà,French,Pháp,Coq au vin,Gà Nấu Rượu Chát
honey-yogurt-cheesecake,Dessert,Món tráng miệng,Greek,Hy Lạp,Honey Yogurt Cheesecake,Bánh phô mai sữa chua mật ong
suksessterte-norwegian-almond-success-cake,Dessert,Món tráng miệng,Norwegian,Na Uy,Suksessterte (Norwegian almond “success cake”),Bánh hạnh nhân
carrot-cake,Dessert,Món tráng miệng,British,Anh,Carrot Cake,Bánh cà rốt
kabse,Chicken,Thịt gà,Saudi Arabian,Ả Rập Xê Út,kabse,Cơm Gà Kabsa
spicy-thai-prawn-noodles,Seafood,Hải sản,Thai,Thái,Spicy Thai prawn noodles,Mì tôm Thái cay
thai-chicken-cakes-with-sweet-chilli-sauce,Chicken,Thịt gà,Thai,Thái,Thai chicken cakes with sweet chilli sauce,Bánh gà Thái với nước chấm ngọt
roasted-eggplant-with-tahini-pine-nuts-and-lentils,Vegetarian,Chay,American,Mỹ,"Roasted Eggplant With Tahini, Pine Nuts, and Lentils",Cà Tím Nướng Đậu Lăng
khobz-el-dar-algerian-semolina-bread,Side,Món ăn kèm,Algerian,Algeria,Khobz el Dar (Algerian Semolina Bread),Bánh mì Semolina Algeria
full-english-breakfast,Breakfast,Bữa sáng,British,Anh,Full English Breakfast,Bữa Sáng Kiểu Anh
ajo-blanco,Starter,Món khai vị,Spanish,Tây Ban Nha,Ajo blanco,Súp lạnh tỏi hạnh nhân
japanese-gohan-rice,Side,Món ăn kèm,Japanese,Nhật Bản,Japanese gohan rice,Cơm Gohan Nhật
salt--pepper-squid,Seafood,Hải sản,Vietnamese,Việt Nam,Salt & pepper squid,Mực chiên muối ớt
ensaimada,Dessert,Món tráng miệng,Spanish,Tây Ban Nha,Ensaimada,Bánh mì xoắn
jamaican-sweet-potato-pudding,Dessert,Món tráng miệng,Jamaican,Jamaica,Jamaican Sweet Potato Pudding,Chè Khoai Lang
pad-thai,Seafood,Hải sản,Thai,Thái,Pad Thai,Phở Xào Thái Lan
smoky-chicken-skewers,Chicken,Thịt gà,Turkish,Thổ Nhĩ Kỳ,Smoky chicken skewers,Gà xiên que hun khói
yemeni-lahsa-elite-shakshuka,Breakfast,Bữa sáng,Saudi Arabian,Ả Rập Xê Út,Yemeni Lahsa (Elite Shakshuka),Trứng Sốt Phô Mai Yemen
fresh-sardines,Side,Món ăn kèm,Croatian,Croatia,Fresh sardines,Cá mòi tươi
chilli-prawn-linguine,Pasta,Mì,Italian,Ý,Chilli prawn linguine,Linguine tôm ớt
rigatoni-with-fennel-sausage-sauce,Lamb,Thịt cừu,Italian,Ý,Rigatoni with fennel sausage sauce,Rigatoni sốt xúc xích thì là
potato-salad-olivier-salad,Vegetarian,Chay,Russian,Nga,Potato Salad (Olivier Salad),Salad Khoai Tây
beetroot--red-cabbage-sauerkraut,Vegetarian,Chay,Polish,Ba Lan,Beetroot & red cabbage sauerkraut,Dưa cải bắp đỏ củ dền
chicken-ham-and-leek-pie,Chicken,Thịt gà,British,Anh,Chicken Ham and Leek Pie,"Bánh Gà, Giăm Bông và Tỏi Tây"
beef-and-mustard-pie,Beef,Thịt bò,British,Anh,Beef and Mustard Pie,Bánh bò mù tạt
corned-beef-hash,Beef,Thịt bò,British,Anh,Corned Beef Hash,Bò muối xào khoai tây
spanish-style-slow-cooked-lamb-shoulder--beans,Lamb,Thịt cừu,Spanish,Tây Ban Nha,Spanish-style slow-cooked lamb shoulder & beans,Thịt cừu hầm kiểu Tây Ban Nha với đậu
ham-hock-colcannon,Pork,Thịt heo,Irish,Ai-len,Ham hock colcannon,Khoai tây nghiền bắp cải thịt chân giò
rye-bread,Side,Món ăn kèm,Polish,Ba Lan,Rye bread,Bánh mì lúa mạch đen
spaghetti-bolognese,Beef,Thịt bò,Italian,Ý,Spaghetti Bolognese,Mì Ý Sốt Bò
croatian-lamb-peka,Beef,Thịt bò,Croatian,Croatia,Croatian lamb peka,Cừu Peka Croatia
beetroot-pancakes,Dessert,Món tráng miệng,Ukrainian,ukraine,Beetroot pancakes,Bánh Xèo Củ Dền
moroccan-carrot-soup,Vegetarian,Chay,Moroccan,Ma-rốc,Moroccan Carrot Soup,Súp cà rốt Ma-rốc
mazariner--scandinavian-almond-tartlets,Dessert,Món tráng miệng,Norwegian,Na Uy,Mazariner – Scandinavian Almond Tartlets,Bánh tart hạnh nhân Scandinavia
strawberry-rhubarb-pie,Dessert,Món tráng miệng,British,Anh,Strawberry Rhubarb Pie,Bánh pie dâu và đại hoàng
shawarma,Chicken,Thịt gà,Egyptian,Ai cập,Shawarma,Shawarma
lamb--apricot-meatballs,Lamb,Thịt cừu,Turkish,Thổ Nhĩ Kỳ,Lamb & apricot meatballs,Thịt viên cừu và mơ
pad-see-ew,Chicken,Thịt gà,Thai,Thái,Pad See Ew,Bánh phở xào
vanilla-alfajores,Dessert,Món tráng miệng,Uruguayan,Uruguay,Vanilla alfajores,Bánh quy kẹp vani
honey-balsamic-chicken-with-crispy-broccoli--potatoes,Chicken,Thịt gà,American,Mỹ,Honey Balsamic Chicken with Crispy Broccoli & Potatoes,Gà Mật Ong Giấm Balsamic với Bông Cải Xanh và Khoai Tây Chiên
key-lime-pie,Dessert,Món tráng miệng,American,Mỹ,Key Lime Pie,Bánh kem chanh
grilled-eggplant-with-coconut-milk,Vegetarian,Chay,Filipino,Philippines,Grilled eggplant with coconut milk,Cà tím nướng nước cốt dừa
dutch-stroopwafel,Dessert,Món tráng miệng,Dutch,Hà Lan,Dutch stroopwafel,Bánh quế caramel
rosol-polish-chicken-soup,Chicken,Thịt gà,Polish,Ba Lan,Rosol (Polish Chicken Soup),Súp gà Ba Lan
massaman-beef-curry,Beef,Thịt bò,Thai,Thái,Massaman Beef curry,Cà ri bò Massaman
peach--blueberry-grunt,Dessert,Món tráng miệng,American,Mỹ,Peach & Blueberry Grunt,Bánh bột trái đào và việt quất
kofta-burgers,Lamb,Thịt cừu,Turkish,Thổ Nhĩ Kỳ,kofta burgers,Bánh mì kẹp thịt kofta
prawn-stir-fry,Seafood,Hải sản,Thai,Thái,Prawn stir-fry,Tôm xào
