recipe_code,category,category_vn,area,area_vn,name_en,name_vi
jamaican-boiled-dumplings,Side,Món ăn kèm,Jamaican,Jamaica,Jamaican Boiled Dumplings,Bánh luộc
syrian-rice-with-meat,Miscellaneous,Hỗn hợp,Syrian,Syria,Syrian Rice with Meat,Cơm Syria Thịt
roasted-chicken-with-creamy-walnut-sauce,Chicken,Thịt gà,Turkish,Thổ Nhĩ Kỳ,Roasted chicken with creamy walnut sauce,Gà nướng sốt kem óc chó
dal-fry,Vegetarian,Chay,Indian,Ấn Độ,Dal fry,Đậu rán
hummus,Side,Món ăn kèm,Turkish,Thổ Nhĩ Kỳ,Hummus,Hummus
thai-fried-rice-with-prawns--peas,Seafood,Hải sản,Thai,Thái,Thai fried rice with prawns & peas,Cơm chiên tôm và đậu Hà Lan
nanaimo-bars,Dessert,Món tráng miệng,Canadian,Ca-na-đa,Nanaimo Bars,Bánh Nanaimo
lamingtons,Dessert,Món tráng miệng,Australian,Úc,Lamingtons,Bánh Lamingtons
chicken-shawarma-with-homemade-garlic-herb-yoghurt-sauce,Chicken,Thịt gà,Saudi Arabian,Ả Rập Xê Út,Chicken Shawarma with homemade garlic herb yoghurt sauce,Gà Shawarma sốt sữa chua tỏi thơm
lemongrass-beef-stew-with-noodles,Beef,Thịt bò,Thai,Thái,Lemongrass beef stew with noodles,Bò Kho Mì
beetroot-latkes,Vegetarian,Chay,Ukrainian,ukraine,Beetroot latkes,Bánh củ dền
carbonada-criolla,Beef,Thịt bò,Argentinian,Argentina,Carbonada Criolla,Carbonada Criolla
fainá,Side,Món ăn kèm,Argentinian,Argentina,Fainá,Bánh Fainá
thai-drumsticks,Chicken,Thịt gà,Thai,Thái,Thai drumsticks,Đùi Gà Thái
beef-bourguignon,Beef,Thịt bò,French,Pháp,Beef Bourguignon,Bò kho
shawarma-chuck-roast-wrap,Beef,Thịt bò,Saudi Arabian,Ả Rập Xê Út,Shawarma chuck roast wrap,Shawarma thịt vai bò cuộn
jamaican-curry-goat,Goat,Dê,Jamaican,Jamaica,Jamaican Curry Goat,Cà Ri Dê
portuguese-prego-with-green-piri-piri,Beef,Thịt bò,Portuguese,Bồ Đào Nha,Portuguese prego with green piri-piri,Bò nướng ớt xanh
golabki-cabbage-roll,Beef,Thịt bò,Polish,Ba Lan,Golabki (cabbage roll),Bắp cải cuộn thịt
salmon-eggs-eggs-benedict,Breakfast,Bữa sáng,American,Mỹ,Salmon Eggs Eggs Benedict,Trứng Benedict Cá Hồi
venezuelan-arepas,Side,Món ăn kèm,Venezulan,Venezuela,Venezuelan Arepas,Bánh Arepa Venezuela
shawarma-bread,Side,Món ăn kèm,Saudi Arabian,Ả Rập Xê Út,Shawarma bread,Bánh mì Shawarma
patatas-bravas,Vegetarian,Chay,Spanish,Tây Ban Nha,Patatas bravas,Khoai tây sốt cay
chicken-fajita-mac-and-cheese,Chicken,Thịt gà,American,Mỹ,Chicken Fajita Mac and Cheese,Mac và Phô Mai Gà Fajita
grilled-mac-and-cheese-sandwich,Pasta,Mì,American,Mỹ,Grilled Mac and Cheese Sandwich,Bánh Mì Kẹp Phô Mai Macaroni Nướng
beef-brisket-pot-roast,Beef,Thịt bò,American,Mỹ,Beef Brisket Pot Roast,Bò kho
pancakes,Dessert,Món tráng miệng,American,Mỹ,Pancakes,Bánh Xèo
feteer-meshaltet,Side,Món ăn kèm,Egyptian,Ai cập,Feteer Meshaltet,Bánh ngàn lớp Ai Cập
fettuccine-alfredo,Pasta,Mì,Italian,Ý,Fettuccine Alfredo,Mì Ý Fettuccine Sốt Kem
zapiekanki,Pork,Thịt heo,Polish,Ba Lan,Zapiekanki,Bánh mì nướng
jamaican-rice-and-peas,Vegetarian,Chay,Jamaican,Jamaica,Jamaican Rice and Peas,Cơm và đậu
polish-chocolate--walnut-cake,Dessert,Món tráng miệng,Polish,Ba Lan,Polish chocolate & walnut cake,Bánh sô cô la hạt óc chó kiểu Ba Lan
pisto-con-huevos,Vegetarian,Chay,Spanish,Tây Ban Nha,Pisto con huevos,Rau củ hầm trứng
sticky-toffee-pudding-ultimate,Dessert,Món tráng miệng,British,Anh,Sticky Toffee Pudding Ultimate,Bánh pudding toffee
roti-john,Beef,Thịt bò,Malaysian,Malaysia,Roti john,Bánh mì trứng
chorizo--tomato-salad,Pork,Thịt heo,Spanish,Tây Ban Nha,Chorizo & tomato salad,Gỏi chorizo và cà chua
walnut-date--honey-cake,Dessert,Món tráng miệng,Turkish,Thổ Nhĩ Kỳ,"Walnut, date & honey cake",Bánh óc chó chà là mật ong
steak--vietnamese-noodle-salad,Beef,Thịt bò,Vietnamese,Việt Nam,Steak & Vietnamese noodle salad,Bún bò xào
brie-wrapped-in-prosciutto--brioche,Side,Món ăn kèm,French,Pháp,Brie wrapped in prosciutto & brioche,Brie cuộn prosciutto nướng bánh mì hoa cúc
matambre-a-la-pizza,Beef,Thịt bò,Argentinian,Argentina,Matambre a la Pizza,Bò nướng kiểu Pizza
prawn--fennel-bisque,Side,Món ăn kèm,French,Pháp,Prawn & Fennel Bisque,Súp kem tôm thì là
white-chocolate-creme-brulee,Dessert,Món tráng miệng,French,Pháp,White chocolate creme brulee,Kem cháy sô cô la trắng
slow-roast-lamb-with-cinnamon-fennel--citrus,Lamb,Thịt cừu,Turkish,Thổ Nhĩ Kỳ,"Slow-roast lamb with cinnamon, fennel & citrus","Cừu quay chậm với quế, thì là và cam chanh"
baked-salmon-with-fennel--tomatoes,Seafood,Hải sản,British,Anh,Baked salmon with fennel & tomatoes,Cá hồi nướng với thì là và cà chua
dutch-poffertjes-mini-pancakes,Breakfast,Bữa sáng,Dutch,Hà Lan,Dutch poffertjes (mini pancakes),Bánh Khọt
bread-omelette,Breakfast,Bữa sáng,Indian,Ấn Độ,Bread omelette,Bánh mì trứng
koshari,Vegetarian,Chay,Egyptian,Ai cập,Koshari,Cơm trộn Koshari
falafel-pita-sandwich-with-tahini-sauce,Vegetarian,Chay,Syrian,Syria,Falafel Pita Sandwich with Tahini Sauce,Bánh mì pita falafel sốt tahini
treacle-tart,Dessert,Món tráng miệng,British,Anh,Treacle Tart,Bánh tart mật đường
hot-chocolate-fudge,Dessert,Món tráng miệng,American,Mỹ,Hot Chocolate Fudge,Sô-cô-la Nóng Fudge
paella,Seafood,Hải sản,Spanish,Tây Ban Nha,Paella,Cơm Paella
callaloo-and-saltfish,Side,Món ăn kèm,Jamaican,Jamaica,Callaloo and SaltFish,Rau callaloo và cá muối
bistek,Beef,Thịt bò,Filipino,Philippines,Bistek,Bít tết
stuffed-bell-peppers-with-quinoa-and-black-beans,Vegetarian,Chay,Mexican, Mexico,Stuffed Bell Peppers with Quinoa and Black Beans,Ớt chuông nhồi quinoa và đậu đen
spanish-chicken-pie,Chicken,Thịt gà,Spanish,Tây Ban Nha,Spanish chicken pie,Bánh gà Tây Ban Nha
lasagne,Pasta,Mì,Italian,Ý,Lasagne,Lasagne
rock-cakes,Dessert,Món tráng miệng,British,Anh,Rock Cakes,Bánh Da
vegetable-shepherds-pie,Beef,Thịt bò,Irish,Ai-len,Vegetable Shepherds Pie,Bánh Khoai Rau Củ
chicken-wings-with-cumin-lemon--garlic,Chicken,Thịt gà,Turkish,Thổ Nhĩ Kỳ,"Chicken wings with cumin, lemon & garlic",Cánh gà nướng chanh tỏi và thì là
soy-glazed-meatloaves-with-wasabi-mashed-potatoes--roasted-carrots,Beef,Thịt bò,American,Mỹ,Soy-Glazed Meatloaves with Wasabi Mashed Potatoes & Roasted Carrots,Thịt ổ sốt xì dầu ăn kèm khoai tây nghiền wasabi và cà rốt nướng
beef-caldereta,Beef,Thịt bò,Filipino,Philippines,Beef Caldereta,Món bò hầm
venezuelan-shredded-beef,Beef,Thịt bò,Venezulan,Venezuela,Venezuelan Shredded Beef,Thịt bò xé Venezuela
figgy-duff,Dessert,Món tráng miệng,Canadian,Ca-na-đa,Figgy Duff,Bánh pudding quả sung
garlicky-prawns-with-sherry,Seafood,Hải sản,Spanish,Tây Ban Nha,Garlicky prawns with sherry,Tôm xào tỏi
nordic-smørrebrød-with-asparagus-and-horseradish-cream,Vegetarian,Chay,Norwegian,Na Uy,Nordic smørrebrød with asparagus and horseradish cream,Bánh mì mở kiểu Bắc Âu với măng tây và kem wasabi
tom-kha-gai,Chicken,Thịt gà,Thai,Thái,Tom kha gai,Súp Gà Nước Cốt Dừa
chicken-with-saffron-raisins--pine-nuts,Chicken,Thịt gà,Spanish,Tây Ban Nha,"Chicken with saffron, raisins & pine nuts","Gà xào nghệ tây, nho khô và hạt thông"
fish-stew-with-rouille,Seafood,Hải sản,French,Pháp,Fish Stew with Rouille,Cá kho kèm sốt Rouille
spanish-meatballs-with-clams-chorizo--squid,Miscellaneous,Hỗn hợp,Spanish,Tây Ban Nha,"Spanish meatballs with clams, chorizo & squid","Thịt viên Tây Ban Nha với nghêu, lạp xưởng và mực"
lamb-tomato-and-sweet-spices,Lamb,Thịt cừu,Moroccan,Ma-rốc,Lamb tomato and sweet spices,Thịt cừu cà chua và gia vị ngọt
portuguese-custard-tarts,Dessert,Món tráng miệng,Portuguese,Bồ Đào Nha,Portuguese custard tarts,Bánh tart trứng Bồ Đào Nha
minced-beef-pie,Beef,Thịt bò,British,Anh,Minced Beef Pie,Bánh bò băm
nutty-chicken-curry,Chicken,Thịt gà,Indian,Ấn Độ,Nutty Chicken Curry,Cà Ri Gà Hạt
thai-prawn-curry,Seafood,Hải sản,Thai,Thái,Thai prawn curry,Cà Ri Tôm Thái
chicken-parmentier,Chicken,Thịt gà,French,Pháp,Chicken Parmentier,Gà Parmentier
ugali--kenyan-cornmeal,Breakfast,Bữa sáng,Kenyan,Kenya,Ugali – Kenyan cornmeal,Mèn mén
chickpea-chorizo--spinach-stew,Pork,Thịt heo,Spanish,Tây Ban Nha,"Chickpea, chorizo & spinach stew",Đậu Gà Hầm Xúc Xích Chorizo và Rau Bó Xôi
peanut-butter-cookies,Dessert,Món tráng miệng,American,Mỹ,Peanut Butter Cookies,Bánh bơ đậu phộng
singapore-noodles-with-shrimp,Seafood,Hải sản,Chinese,Tiếng Trung,Singapore Noodles with Shrimp,Bún Xào Singapore Tôm
smoked-aubergine-purée,Side,Món ăn kèm,Turkish,Thổ Nhĩ Kỳ,Smoked aubergine purée,Cà tím nghiền xông khói
air-fryer-patatas-bravas,Vegetarian,Chay,Spanish,Tây Ban Nha,Air fryer patatas bravas,Khoai tây rán nồi chiên không dầu sốt bravas
fennel-dauphinoise,Side,Món ăn kèm,French,Pháp,Fennel Dauphinoise,Thì Là Nướng Kem
kumpir,Side,Món ăn kèm,Turkish,Thổ Nhĩ Kỳ,Kumpir,Khoai tây nướng Thổ Nhĩ Kỳ
vegetarian-shakshuka,Vegetarian,Chay,Saudi Arabian,Ả Rập Xê Út,Vegetarian Shakshuka,Trứng Poached Sốt Cà Chay
tangy-cabbage-slaw,Vegetarian,Chay,Ukrainian,ukraine,Tangy cabbage slaw,Gỏi Bắp Cải
sweet-and-sour-pork,Pork,Thịt heo,Chinese,Tiếng Trung,Sweet and Sour Pork,Sườn xào chua ngọt
beef-lo-mein,Beef,Thịt bò,Chinese,Tiếng Trung,Beef Lo Mein,Mì Xào Bò
spinach--ricotta-cannelloni,Vegetarian,Chay,Italian,Ý,Spinach & Ricotta Cannelloni,Canelloni Rau Chân Vịt Phô Mai
kenyan-beef-curry,Beef,Thịt bò,Kenyan,Kenya,Kenyan Beef Curry,Cà Ri Bò
venezuelan-turnovers,Side,Món ăn kèm,Venezulan,Venezuela,Venezuelan turnovers,Bánh
shrimp-with-snow-peas,Seafood,Hải sản,Chinese,Tiếng Trung,Shrimp With Snow Peas,Tôm Xào Đậu Hà Lan
spiced-smoky-barbecued-chicken,Chicken,Thịt gà,Australian,Úc,Spiced smoky barbecued chicken,Gà nướng BBQ khói gia vị
ezme,Vegetarian,Chay,Turkish,Thổ Nhĩ Kỳ,Ezme,Gỏi
chtitha-batata-algerian-potato-stew,Vegetarian,Chay,Algerian,Algeria,Chtitha Batata (Algerian Potato Stew),Khoai tây hầm kiểu Algeria
recheado-masala-fish,Seafood,Hải sản,Indian,Ấn Độ,Recheado Masala Fish,Cá Sốt Recheado
skillet-apple-pork-chops-with-roasted-sweet-potatoes--zucchini,Pork,Thịt heo,American,Mỹ,Skillet Apple Pork Chops with Roasted Sweet Potatoes & Zucchini,Sườn Heo Áp Chảo Sốt Táo kèm Khoai Lang và Bí Ngòi Nướng
salted-caramel-cheescake,Dessert,Món tráng miệng,American,Mỹ,Salted Caramel Cheescake,Bánh phô mai caramen muối
avocado-dip-with-new-potatoes,Vegetarian,Chay,Australian,Úc,Avocado dip with new potatoes,Khoai tây non sốt bơ
poulet-roti-a-lalgerienne-algerian-roast-chicken,Chicken,Thịt gà,Algerian,Algeria,Poulet Roti a l'Algerienne (Algerian Roast Chicken),Gà Quay Kiểu Algeria
date-squares,Dessert,Món tráng miệng,Canadian,Ca-na-đa,Date squares,Bánh vuông chà là
chorizo--chickpea-soup,Pork,Thịt heo,Spanish,Tây Ban Nha,Chorizo & chickpea soup,Súp Đậu Gà Xúc Xích
ayam-percik,Chicken,Thịt gà,Malaysian,Malaysia,Ayam Percik,Gà nướng sốt dừa
shakshuka-feta-cheese,Miscellaneous,Hỗn hợp,Saudi Arabian,Ả Rập Xê Út,Shakshuka Feta Cheese,Trứng sốt cà chua phô mai Feta
spiced-tortilla,Vegetarian,Chay,Spanish,Tây Ban Nha,Spiced tortilla,Bánh mì gia vị
bang-bang-prawn-salad,Seafood,Hải sản,Vietnamese,Việt Nam,Bang bang prawn salad,Gỏi tôm
beef-wellington,Beef,Thịt bò,British,Anh,Beef Wellington,Bò Wellington
mince-pies,Dessert,Món tráng miệng,British,Anh,Mince Pies,Bánh Patê Sô
honey-teriyaki-salmon,Seafood,Hải sản,Japanese,Nhật Bản,Honey Teriyaki Salmon,Cá Hồi Sốt Teriyaki Mật Ong
turkish-rice-vermicelli-rice,Miscellaneous,Hỗn hợp,Turkish,Thổ Nhĩ Kỳ,Turkish rice (vermicelli rice),Miến
chocolate-caramel-crispy,Dessert,Món tráng miệng,British,Anh,Chocolate Caramel Crispy,Bánh Sôcôla Caramel Giòn
saskatoon-pie,Dessert,Món tráng miệng,Canadian,Ca-na-đa,Saskatoon Pie,Bánh nướng dâu Saskatoon
bread-and-butter-pudding,Dessert,Món tráng miệng,British,Anh,Bread and Butter Pudding,Bánh mì bơ nướng
chicken-couscous,Chicken,Thịt gà,Moroccan,Ma-rốc,Chicken Couscous,Couscous Gà
tofu-greens--cashew-stir-fry,Vegetarian,Chay,Vietnamese,Việt Nam,"Tofu, greens & cashew stir-fry",Đậu hũ xào rau củ hạt điều
sichuan-style-stir-fried-chinese-long-beans,Vegetarian,Chay,Chinese,Tiếng Trung,Sichuan Style Stir-Fried Chinese Long Beans,Đậu đũa xào Tứ Xuyên
chocolate-alfajores,Dessert,Món tráng miệng,Uruguayan,Uruguay,Chocolate alfajores,Bánh alfajores sô cô la
beef-empanadas,Beef,Thịt bò,Uruguayan,Uruguay,Beef Empanadas,Bánh gối bò
cevapi-sausages,Beef,Thịt bò,Croatian,Croatia,Cevapi Sausages,Thịt nướng xâu
migas,Miscellaneous,Hỗn hợp,Spanish,Tây Ban Nha,Migas,Trứng cuộn bắp chiên
chicken-fried-rice,Chicken,Thịt gà,Chinese,Tiếng Trung,Chicken Fried Rice,Cơm Chiên Gà
banana-pancakes,Dessert,Món tráng miệng,American,Mỹ,Banana Pancakes,Banh chuoi
leblebi-soup,Vegetarian,Chay,Tunisian,Tunisia,Leblebi Soup,Súp Đậu Gà
vietnamese-grilled-pork-bun-thit-nuong,Pork,Thịt heo,Vietnamese,Việt Nam,Vietnamese Grilled Pork (bun-thit-nuong),Bún Thịt Nướng
kentucky-fried-chicken,Chicken,Thịt gà,American,Mỹ,Kentucky Fried Chicken,Gà Rán
lamb-pilaf-plov,Lamb,Thịt cừu,Russian,Nga,Lamb Pilaf (Plov),Cơm cừu Pilaf
breakfast-potatoes,Breakfast,Bữa sáng,Canadian,Ca-na-đa,Breakfast Potatoes,Khoai tây chiên ăn sáng
crispy-eggplant,Vegetarian,Chay,Filipino,Philippines,Crispy Eggplant,Cà tím chiên xù
general-tsos-chicken,Chicken,Thịt gà,Chinese,Tiếng Trung,General Tsos Chicken,Gà Tso Tổng
thai-style-steamed-fish,Seafood,Hải sản,Thai,Thái,Thai-style steamed fish,Cá hấp kiểu Thái
summer-pudding,Dessert,Món tráng miệng,British,Anh,Summer Pudding,Chè Mùa Hè
salmon-noodle-soup,Seafood,Hải sản,Vietnamese,Việt Nam,Salmon noodle soup,Phở Cá Hồi
caribbean-tamarind-balls,Dessert,Món tráng miệng,Jamaican,Jamaica,Caribbean Tamarind balls,Me viên
sesame-cucumber-salad,Side,Món ăn kèm,Chinese,Tiếng Trung,Sesame Cucumber Salad,Gỏi Dưa Leo
vietnamese-lamb-shanks-with-sweet-potatoes,Lamb,Thịt cừu,Vietnamese,Việt Nam,Vietnamese lamb shanks with sweet potatoes,Cừu hầm khoai lang
aussie-burgers,Beef,Thịt bò,Australian,Úc,Aussie Burgers,Bánh mì kẹp thịt kiểu Úc
æbleskiver,Dessert,Món tráng miệng,Norwegian,Na Uy,Æbleskiver,Bánh Khọt
easy-spanish-chicken,Chicken,Thịt gà,Spanish,Tây Ban Nha,Easy Spanish chicken,Gà Tây Ban Nha
croatian-bean-stew,Beef,Thịt bò,Croatian,Croatia,Croatian Bean Stew,Súp Đậu Croatia
vietnamese-style-caramel-pork,Pork,Thịt heo,Vietnamese,Việt Nam,Vietnamese-style caramel pork,Thịt kho tàu
fettucine-alfredo,Pasta,Mì,Italian,Ý,Fettucine alfredo,Mì Ý Fettuccine Alfredo
hodge-podge,Vegetarian,Chay,Canadian,Ca-na-đa,Hodge Podge,Món Hổ Lốn
chinese-orange-chicken,Chicken,Thịt gà,Chinese,Tiếng Trung,Chinese Orange Chicken,Gà Sốt Cam
lamb-tzatziki-burgers,Lamb,Thịt cừu,Greek,Hy Lạp,Lamb Tzatziki Burgers,Bánh Mì Thịt Cừu
lancashire-hotpot,Lamb,Thịt cừu,British,Anh,Lancashire hotpot,Món hầm Lancashire
pumpkin-pie,Dessert,Món tráng miệng,American,Mỹ,Pumpkin Pie,Bánh bí đỏ
jiggs-dinner,Beef,Thịt bò,Canadian,Ca-na-đa,Jiggs Dinner,Thịt bò muối và bắp cải luộc
braised-stuffed-cabbage,Vegetarian,Chay,Polish,Ba Lan,Braised stuffed cabbage,Bắp Cải Cuộn Thịt
brown-stew-chicken,Chicken,Thịt gà,Jamaican,Jamaica,Brown Stew Chicken,Gà kho
katsu-chicken-curry,Chicken,Thịt gà,Japanese,Nhật Bản,Katsu Chicken curry,Cà Ri Gà Katsu
boxty-breakfast,Pork,Thịt heo,Irish,Ai-len,Boxty Breakfast,Bữa sáng Boxty
egg-drop-soup,Vegetarian,Chay,Chinese,Tiếng Trung,Egg Drop Soup,Canh Trứng
milanesa,Beef,Thịt bò,Argentinian,Argentina,Milanesa,Thịt Cốt Lết Chiên Giòn
jamaican-beef-patties,Beef,Thịt bò,Jamaican,Jamaica,Jamaican Beef Patties,Bánh thịt bò Jamaica
tuna-and-egg-briks,Seafood,Hải sản,Tunisian,Tunisia,Tuna and Egg Briks,Bánh xốp cá ngừ trứng
turkey-meatloaf,Miscellaneous,Hỗn hợp,British,Anh,Turkey Meatloaf,Chả gà tây
portuguese-fish-stew-caldeirada-de-peixe,Seafood,Hải sản,Portuguese,Bồ Đào Nha,Portuguese fish stew (Caldeirada de peixe),Cá kho
griddled-aubergines-with-sesame-dressing,Vegetarian,Chay,Turkish,Thổ Nhĩ Kỳ,Griddled aubergines with sesame dressing,Cà tím nướng sốt mè
gambas-al-ajillo,Seafood,Hải sản,Spanish,Tây Ban Nha,Gambas al ajillo,Tôm xào tỏi
battenberg-cake,Dessert,Món tráng miệng,British,Anh,Battenberg Cake,Bánh Battenberg
torrijas-with-sherry,Breakfast,Bữa sáng,Spanish,Tây Ban Nha,Torrijas with sherry,Bánh mì chiên Torrijas sốt Sherry
fašírky,Pork,Thịt heo,Slovakian,Slovakia,Fašírky,Chả băm chiên
montreal-smoked-meat,Beef,Thịt bò,Canadian,Ca-na-đa,Montreal Smoked Meat,Thịt hun khói Montreal
kidney-bean-curry,Vegetarian,Chay,Indian,Ấn Độ,Kidney Bean Curry,Cà ri đậu tây
kapsalon,Lamb,Thịt cừu,Dutch,Hà Lan,Kapsalon,Thịt nướng khoai tây
portuguese-barbecued-pork-febras-assadas,Pork,Thịt heo,Portuguese,Bồ Đào Nha,Portuguese barbecued pork (Febras assadas),Thịt heo nướng
lamb-biryani,Lamb,Thịt cừu,Indian,Ấn Độ,Lamb Biryani,Cơm chiên cừu
spanish-beans-with-chicken--chorizo,Chicken,Thịt gà,Spanish,Tây Ban Nha,Spanish beans with chicken & chorizo,Đậu gà xào gà và xúc xích
turkish-style-lamb,Lamb,Thịt cừu,Turkish,Thổ Nhĩ Kỳ,Turkish-style lamb,Thịt cừu kiểu Thổ Nhĩ Kỳ
tangy-carrot-cabbage--onion-salad,Vegetarian,Chay,Vietnamese,Việt Nam,"Tangy carrot, cabbage & onion salad",Gỏi cà rốt bắp cải hành tây chua ngọt
kung-pao-chicken,Chicken,Thịt gà,Chinese,Tiếng Trung,Kung Pao Chicken,Gà Kung Pao
matar-paneer,Vegetarian,Chay,Indian,Ấn Độ,Matar Paneer,Cà ri phô mai đậu Hà Lan
mulukhiyah,Beef,Thịt bò,Egyptian,Ai cập,Mulukhiyah,Rau Đay
pistachio-cake,Dessert,Món tráng miệng,Polish,Ba Lan,Pistachio cake,Bánh hồ trăn
borsch,Beef,Thịt bò,Ukrainian,ukraine,Borsch,Súp củ dền
tuna-nicoise,Seafood,Hải sản,French,Pháp,Tuna Nicoise,Salad Cá Ngừ Kiểu Niçoise
beef-mechado,Beef,Thịt bò,Filipino,Philippines,Beef Mechado,Thịt bò hầm sốt cà chua
saltfish-and-ackee,Seafood,Hải sản,Jamaican,Jamaica,Saltfish and Ackee,Cá muối và Ackee
choc-chip-pecan-pie,Dessert,Món tráng miệng,American,Mỹ,Choc Chip Pecan Pie,Bánh nướng sô cô la hạt hồ đào
chicken-mandi,Chicken,Thịt gà,Indian,Ấn Độ,Chicken Mandi,Cơm Gà Mandi
roast-fennel-and-aubergine-paella,Vegan,Thuần chay,Spanish,Tây Ban Nha,Roast fennel and aubergine paella,Paella thì là và cà tím nướng
strawberries-romanoff,Dessert,Món tráng miệng,Russian,Nga,Strawberries Romanoff,Dâu tây Romanoff
fruit-and-cream-cheese-breakfast-pastries,Breakfast,Bữa sáng,American,Mỹ,Fruit and Cream Cheese Breakfast Pastries,Bánh phô mai trái cây
thai-curry-noodle-soup,Seafood,Hải sản,Thai,Thái,Thai curry noodle soup,Mì cà ri Thái
no-churn-rum-raisin-ice-cream,Dessert,Món tráng miệng,Jamaican,Jamaica,No-Churn Rum Raisin Ice Cream,Kem Rum Nho Khô
seafood-fideuà,Seafood,Hải sản,Spanish,Tây Ban Nha,Seafood fideuà,Mì xào hải sản
poutine,Miscellaneous,Hỗn hợp,Canadian,Ca-na-đa,Poutine,Phở Poutine
fasoliyyeh-bi-z-zayt-syrian-green-beans-with-olive-oil,Vegan,Thuần chay,Syrian,Syria,Fasoliyyeh Bi Z-Zayt (Syrian Green Beans with Olive Oil),Đậu Que Xào Dầu Ô Liu
vegan-chocolate-cake,Vegan,Thuần chay,American,Mỹ,Vegan Chocolate Cake,Bánh Sôcôla Chay
spanish-tortilla,Vegetarian,Chay,Spanish,Tây Ban Nha,Spanish Tortilla,Trứng cuộn khoai tây Tây Ban Nha
arepa-pabellón,Beef,Thịt bò,Venezulan,Venezuela,Arepa Pabellón,Bánh Arepa nhân Pabellón
steak-diane,Beef,Thịt bò,French,Pháp,Steak Diane,Bít tết Diane
corned-beef-and-cabbage,Beef,Thịt bò,Irish,Ai-len,Corned Beef and Cabbage,Thịt bò muối và bắp cải
mustard-champ,Side,Món ăn kèm,Irish,Ai-len,Mustard champ,Khoai tây nghiền mù tạt
sticky-toffee-pudding,Dessert,Món tráng miệng,British,Anh,Sticky Toffee Pudding,Bánh pudding chà là sốt bơ đường
rice-paper-dumplings,Pork,Thịt heo,Vietnamese,Việt Nam,Rice paper dumplings,Gỏi cuốn
jamaican-curry-shrimp-recipe,Seafood,Hải sản,Jamaican,Jamaica,Jamaican Curry Shrimp Recipe,Tôm Cari Jamaica
norwegian-krumkake,Dessert,Món tráng miệng,Norwegian,Na Uy,Norwegian Krumkake,Bánh kẹp Krumkake
grilled-portuguese-sardines,Seafood,Hải sản,Portuguese,Bồ Đào Nha,Grilled Portuguese sardines,Cá mòi Bồ Đào Nha nướng
empanadas,Beef,Thịt bò,Argentinian,Argentina,Empanadas,Bánh xếp
chicken-karaage,Chicken,Thịt gà,Japanese,Nhật Bản,Chicken Karaage,Gà Karaage
