exercise_slug,language_code,name,description
3_4_Sit-Up,en,3/4 Sit-Up,
3_4_Sit-Up,vi,,
90_90_Hamstring,en,90/90 Hamstring,
90_90_Hamstring,vi,,
Ab_Crunch_Machine,en,Ab Crunch Machine,
Ab_Crunch_Machine,vi,,
Ab_Roller,en,Ab Roller,
Ab_Roller,vi,,
Adductor,en,Adductor,
Adductor,vi,,
Adductor_Groin,en,Adductor/Groin,
Adductor_Groin,vi,,
Advanced_Kettlebell_Windmill,en,Advanced Kettlebell Windmill,
Advanced_Kettlebell_Windmill,vi,,
Air_Bike,en,Air Bike,
Air_Bike,vi,,
All_Fours_Quad_Stretch,en,All Fours Quad Stretch,
All_Fours_Quad_Stretch,vi,,
Alternate_Hammer_Curl,en,Alternate Hammer Curl,
Alternate_Hammer_Curl,vi,,
Alternate_Heel_Touchers,en,Alternate Heel Touchers,
Alternate_Heel_Touchers,vi,,
Alternate_Incline_Dumbbell_Curl,en,Alternate Incline Dumbbell Curl,
Alternate_Incline_Dumbbell_Curl,vi,,
Alternate_Leg_Diagonal_Bound,en,Alternate Leg Diagonal Bound,
Alternate_Leg_Diagonal_Bound,vi,,
Alternating_Cable_Shoulder_Press,en,Alternating Cable Shoulder Press,
Alternating_Cable_Shoulder_Press,vi,,
Alternating_Deltoid_Raise,en,Alternating Deltoid Raise,
Alternating_Deltoid_Raise,vi,,
Alternating_Floor_Press,en,Alternating Floor Press,
Alternating_Floor_Press,vi,,
Alternating_Hang_Clean,en,Alternating Hang Clean,
Alternating_Hang_Clean,vi,,
Alternating_Kettlebell_Press,en,Alternating Kettlebell Press,
Alternating_Kettlebell_Press,vi,,
Alternating_Kettlebell_Row,en,Alternating Kettlebell Row,
Alternating_Kettlebell_Row,vi,,
Alternating_Renegade_Row,en,Alternating Renegade Row,
Alternating_Renegade_Row,vi,,
Ankle_Circles,en,Ankle Circles,
Ankle_Circles,vi,,
Ankle_On_The_Knee,en,Ankle On The Knee,
Ankle_On_The_Knee,vi,,
Anterior_Tibialis-SMR,en,Anterior Tibialis-SMR,
Anterior_Tibialis-SMR,vi,,
Anti-Gravity_Press,en,Anti-Gravity Press,
Anti-Gravity_Press,vi,,
Arm_Circles,en,Arm Circles,
Arm_Circles,vi,,
Arnold_Dumbbell_Press,en,Arnold Dumbbell Press,
Arnold_Dumbbell_Press,vi,,
Around_The_Worlds,en,Around The Worlds,
Around_The_Worlds,vi,,
Atlas_Stone_Trainer,en,Atlas Stone Trainer,
Atlas_Stone_Trainer,vi,,
Atlas_Stones,en,Atlas Stones,
Atlas_Stones,vi,,
Axle_Deadlift,en,Axle Deadlift,
Axle_Deadlift,vi,,
Back_Flyes_-_With_Bands,en,Back Flyes - With Bands,
Back_Flyes_-_With_Bands,vi,,
Backward_Drag,en,Backward Drag,
Backward_Drag,vi,,
Backward_Medicine_Ball_Throw,en,Backward Medicine Ball Throw,
Backward_Medicine_Ball_Throw,vi,,
Balance_Board,en,Balance Board,
Balance_Board,vi,,
Ball_Leg_Curl,en,Ball Leg Curl,
Ball_Leg_Curl,vi,,
Band_Assisted_Pull-Up,en,Band Assisted Pull-Up,
Band_Assisted_Pull-Up,vi,,
Band_Good_Morning,en,Band Good Morning,
Band_Good_Morning,vi,,
Band_Good_Morning_Pull_Through,en,Band Good Morning (Pull Through),
Band_Good_Morning_Pull_Through,vi,,
Band_Hip_Adductions,en,Band Hip Adductions,
Band_Hip_Adductions,vi,,
Band_Pull_Apart,en,Band Pull Apart,
Band_Pull_Apart,vi,,
Band_Skull_Crusher,en,Band Skull Crusher,
Band_Skull_Crusher,vi,,
Barbell_Ab_Rollout,en,Barbell Ab Rollout,
Barbell_Ab_Rollout,vi,,
Barbell_Ab_Rollout_-_On_Knees,en,Barbell Ab Rollout - On Knees,
Barbell_Ab_Rollout_-_On_Knees,vi,,
Barbell_Bench_Press_-_Medium_Grip,en,Barbell Bench Press - Medium Grip,
Barbell_Bench_Press_-_Medium_Grip,vi,,
Barbell_Curl,en,Barbell Curl,
Barbell_Curl,vi,,
Barbell_Curls_Lying_Against_An_Incline,en,Barbell Curls Lying Against An Incline,
Barbell_Curls_Lying_Against_An_Incline,vi,,
Barbell_Deadlift,en,Barbell Deadlift,
Barbell_Deadlift,vi,,
Barbell_Full_Squat,en,Barbell Full Squat,
Barbell_Full_Squat,vi,,
Barbell_Glute_Bridge,en,Barbell Glute Bridge,
Barbell_Glute_Bridge,vi,,
Barbell_Guillotine_Bench_Press,en,Barbell Guillotine Bench Press,
Barbell_Guillotine_Bench_Press,vi,,
Barbell_Hack_Squat,en,Barbell Hack Squat,
Barbell_Hack_Squat,vi,,
Barbell_Hip_Thrust,en,Barbell Hip Thrust,
Barbell_Hip_Thrust,vi,,
Barbell_Incline_Bench_Press_-_Medium_Grip,en,Barbell Incline Bench Press - Medium Grip,
Barbell_Incline_Bench_Press_-_Medium_Grip,vi,,
Barbell_Incline_Shoulder_Raise,en,Barbell Incline Shoulder Raise,
Barbell_Incline_Shoulder_Raise,vi,,
Barbell_Lunge,en,Barbell Lunge,
Barbell_Lunge,vi,,
Barbell_Rear_Delt_Row,en,Barbell Rear Delt Row,
Barbell_Rear_Delt_Row,vi,,
Barbell_Rollout_from_Bench,en,Barbell Rollout from Bench,
Barbell_Rollout_from_Bench,vi,,
Barbell_Seated_Calf_Raise,en,Barbell Seated Calf Raise,
Barbell_Seated_Calf_Raise,vi,,
Barbell_Shoulder_Press,en,Barbell Shoulder Press,
Barbell_Shoulder_Press,vi,,
Barbell_Shrug,en,Barbell Shrug,
Barbell_Shrug,vi,,
Barbell_Shrug_Behind_The_Back,en,Barbell Shrug Behind The Back,
Barbell_Shrug_Behind_The_Back,vi,,
Barbell_Side_Bend,en,Barbell Side Bend,
Barbell_Side_Bend,vi,,
Barbell_Side_Split_Squat,en,Barbell Side Split Squat,
Barbell_Side_Split_Squat,vi,,
Barbell_Squat,en,Barbell Squat,
Barbell_Squat,vi,,
Barbell_Squat_To_A_Bench,en,Barbell Squat To A Bench,
Barbell_Squat_To_A_Bench,vi,,
Barbell_Step_Ups,en,Barbell Step Ups,
Barbell_Step_Ups,vi,,
Barbell_Walking_Lunge,en,Barbell Walking Lunge,
Barbell_Walking_Lunge,vi,,
Battling_Ropes,en,Battling Ropes,
Battling_Ropes,vi,,
Bear_Crawl_Sled_Drags,en,Bear Crawl Sled Drags,
Bear_Crawl_Sled_Drags,vi,,
Behind_Head_Chest_Stretch,en,Behind Head Chest Stretch,
Behind_Head_Chest_Stretch,vi,,
Bench_Dips,en,Bench Dips,
Bench_Dips,vi,,
Bench_Jump,en,Bench Jump,
Bench_Jump,vi,,
Bench_Press_-_Powerlifting,en,Bench Press - Powerlifting,
Bench_Press_-_Powerlifting,vi,,
Bench_Press_-_With_Bands,en,Bench Press - With Bands,
Bench_Press_-_With_Bands,vi,,
Bench_Press_with_Chains,en,Bench Press with Chains,
Bench_Press_with_Chains,vi,,
Bench_Sprint,en,Bench Sprint,
Bench_Sprint,vi,,
Bent-Arm_Barbell_Pullover,en,Bent-Arm Barbell Pullover,
Bent-Arm_Barbell_Pullover,vi,,
Bent-Arm_Dumbbell_Pullover,en,Bent-Arm Dumbbell Pullover,
Bent-Arm_Dumbbell_Pullover,vi,,
Bent-Knee_Hip_Raise,en,Bent-Knee Hip Raise,
Bent-Knee_Hip_Raise,vi,,
Bent_Over_Barbell_Row,en,Bent Over Barbell Row,
Bent_Over_Barbell_Row,vi,,
Bent_Over_Dumbbell_Rear_Delt_Raise_With_Head_On_Bench,en,Bent Over Dumbbell Rear Delt Raise With Head On Bench,
Bent_Over_Dumbbell_Rear_Delt_Raise_With_Head_On_Bench,vi,,
Bent_Over_Low-Pulley_Side_Lateral,en,Bent Over Low-Pulley Side Lateral,
Bent_Over_Low-Pulley_Side_Lateral,vi,,
Bent_Over_One-Arm_Long_Bar_Row,en,Bent Over One-Arm Long Bar Row,
Bent_Over_One-Arm_Long_Bar_Row,vi,,
Bent_Over_Two-Arm_Long_Bar_Row,en,Bent Over Two-Arm Long Bar Row,
Bent_Over_Two-Arm_Long_Bar_Row,vi,,
Bent_Over_Two-Dumbbell_Row,en,Bent Over Two-Dumbbell Row,
Bent_Over_Two-Dumbbell_Row,vi,,
Bent_Over_Two-Dumbbell_Row_With_Palms_In,en,Bent Over Two-Dumbbell Row With Palms In,
Bent_Over_Two-Dumbbell_Row_With_Palms_In,vi,,
Bent_Press,en,Bent Press,
Bent_Press,vi,,
Bicycling,en,Bicycling,
Bicycling,vi,,
Bicycling_Stationary,en,"Bicycling, Stationary",
Bicycling_Stationary,vi,,
Board_Press,en,Board Press,
Board_Press,vi,,
Body-Up,en,Body-Up,
Body-Up,vi,,
Body_Tricep_Press,en,Body Tricep Press,
Body_Tricep_Press,vi,,
Bodyweight_Flyes,en,Bodyweight Flyes,
Bodyweight_Flyes,vi,,
Bodyweight_Mid_Row,en,Bodyweight Mid Row,
Bodyweight_Mid_Row,vi,,
Bodyweight_Squat,en,Bodyweight Squat,
Bodyweight_Squat,vi,,
Bodyweight_Walking_Lunge,en,Bodyweight Walking Lunge,
Bodyweight_Walking_Lunge,vi,,
Bosu_Ball_Cable_Crunch_With_Side_Bends,en,Bosu Ball Cable Crunch With Side Bends,
Bosu_Ball_Cable_Crunch_With_Side_Bends,vi,,
Bottoms-Up_Clean_From_The_Hang_Position,en,Bottoms-Up Clean From The Hang Position,
Bottoms-Up_Clean_From_The_Hang_Position,vi,,
Bottoms_Up,en,Bottoms Up,
Bottoms_Up,vi,,
Box_Jump_Multiple_Response,en,Box Jump (Multiple Response),
Box_Jump_Multiple_Response,vi,,
Box_Skip,en,Box Skip,
Box_Skip,vi,,
Box_Squat,en,Box Squat,
Box_Squat,vi,,
Box_Squat_with_Bands,en,Box Squat with Bands,
Box_Squat_with_Bands,vi,,
Box_Squat_with_Chains,en,Box Squat with Chains,
Box_Squat_with_Chains,vi,,
Brachialis-SMR,en,Brachialis-SMR,
Brachialis-SMR,vi,,
Bradford_Rocky_Presses,en,Bradford/Rocky Presses,
Bradford_Rocky_Presses,vi,,
Butt-Ups,en,Butt-Ups,
Butt-Ups,vi,,
Butt_Lift_Bridge,en,Butt Lift (Bridge),
Butt_Lift_Bridge,vi,,
Butterfly,en,Butterfly,
Butterfly,vi,,
Cable_Chest_Press,en,Cable Chest Press,
Cable_Chest_Press,vi,,
Cable_Crossover,en,Cable Crossover,
Cable_Crossover,vi,,
Cable_Crunch,en,Cable Crunch,
Cable_Crunch,vi,,
Cable_Deadlifts,en,Cable Deadlifts,
Cable_Deadlifts,vi,,
Cable_Hammer_Curls_-_Rope_Attachment,en,Cable Hammer Curls - Rope Attachment,
Cable_Hammer_Curls_-_Rope_Attachment,vi,,
Cable_Hip_Adduction,en,Cable Hip Adduction,
Cable_Hip_Adduction,vi,,
Cable_Incline_Pushdown,en,Cable Incline Pushdown,
Cable_Incline_Pushdown,vi,,
Cable_Incline_Triceps_Extension,en,Cable Incline Triceps Extension,
Cable_Incline_Triceps_Extension,vi,,
Cable_Internal_Rotation,en,Cable Internal Rotation,
Cable_Internal_Rotation,vi,,
Cable_Iron_Cross,en,Cable Iron Cross,
Cable_Iron_Cross,vi,,
Cable_Judo_Flip,en,Cable Judo Flip,
Cable_Judo_Flip,vi,,
Cable_Lying_Triceps_Extension,en,Cable Lying Triceps Extension,
Cable_Lying_Triceps_Extension,vi,,
Cable_One_Arm_Tricep_Extension,en,Cable One Arm Tricep Extension,
Cable_One_Arm_Tricep_Extension,vi,,
Cable_Preacher_Curl,en,Cable Preacher Curl,
Cable_Preacher_Curl,vi,,
Cable_Rear_Delt_Fly,en,Cable Rear Delt Fly,
Cable_Rear_Delt_Fly,vi,,
Cable_Reverse_Crunch,en,Cable Reverse Crunch,
Cable_Reverse_Crunch,vi,,
Cable_Rope_Overhead_Triceps_Extension,en,Cable Rope Overhead Triceps Extension,
Cable_Rope_Overhead_Triceps_Extension,vi,,
Cable_Rope_Rear-Delt_Rows,en,Cable Rope Rear-Delt Rows,
Cable_Rope_Rear-Delt_Rows,vi,,
Cable_Russian_Twists,en,Cable Russian Twists,
Cable_Russian_Twists,vi,,
Cable_Seated_Crunch,en,Cable Seated Crunch,
Cable_Seated_Crunch,vi,,
Cable_Seated_Lateral_Raise,en,Cable Seated Lateral Raise,
Cable_Seated_Lateral_Raise,vi,,
Cable_Shoulder_Press,en,Cable Shoulder Press,
Cable_Shoulder_Press,vi,,
Cable_Shrugs,en,Cable Shrugs,
Cable_Shrugs,vi,,
Cable_Wrist_Curl,en,Cable Wrist Curl,
Cable_Wrist_Curl,vi,,
Calf-Machine_Shoulder_Shrug,en,Calf-Machine Shoulder Shrug,
Calf-Machine_Shoulder_Shrug,vi,,
Calf_Press,en,Calf Press,
Calf_Press,vi,,
Calf_Press_On_The_Leg_Press_Machine,en,Calf Press On The Leg Press Machine,
Calf_Press_On_The_Leg_Press_Machine,vi,,
Calf_Raise_On_A_Dumbbell,en,Calf Raise On A Dumbbell,
Calf_Raise_On_A_Dumbbell,vi,,
Calf_Raises_-_With_Bands,en,Calf Raises - With Bands,
Calf_Raises_-_With_Bands,vi,,
Calf_Stretch_Elbows_Against_Wall,en,Calf Stretch Elbows Against Wall,
Calf_Stretch_Elbows_Against_Wall,vi,,
Calf_Stretch_Hands_Against_Wall,en,Calf Stretch Hands Against Wall,
Calf_Stretch_Hands_Against_Wall,vi,,
Calves-SMR,en,Calves-SMR,
Calves-SMR,vi,,
Car_Deadlift,en,Car Deadlift,
Car_Deadlift,vi,,
Car_Drivers,en,Car Drivers,
Car_Drivers,vi,,
Carioca_Quick_Step,en,Carioca Quick Step,
Carioca_Quick_Step,vi,,
Cat_Stretch,en,Cat Stretch,
Cat_Stretch,vi,,
Catch_and_Overhead_Throw,en,Catch and Overhead Throw,
Catch_and_Overhead_Throw,vi,,
Chain_Handle_Extension,en,Chain Handle Extension,
Chain_Handle_Extension,vi,,
Chain_Press,en,Chain Press,
Chain_Press,vi,,
Chair_Leg_Extended_Stretch,en,Chair Leg Extended Stretch,
Chair_Leg_Extended_Stretch,vi,,
Chair_Lower_Back_Stretch,en,Chair Lower Back Stretch,
Chair_Lower_Back_Stretch,vi,,
Chair_Squat,en,Chair Squat,
Chair_Squat,vi,,
Chair_Upper_Body_Stretch,en,Chair Upper Body Stretch,
Chair_Upper_Body_Stretch,vi,,
Chest_And_Front_Of_Shoulder_Stretch,en,Chest And Front Of Shoulder Stretch,
Chest_And_Front_Of_Shoulder_Stretch,vi,,
Chest_Push_from_3_point_stance,en,Chest Push from 3 point stance,
Chest_Push_from_3_point_stance,vi,,
Chest_Push_multiple_response,en,Chest Push (multiple response),
Chest_Push_multiple_response,vi,,
Chest_Push_single_response,en,Chest Push (single response),
Chest_Push_single_response,vi,,
Chest_Push_with_Run_Release,en,Chest Push with Run Release,
Chest_Push_with_Run_Release,vi,,
Chest_Stretch_on_Stability_Ball,en,Chest Stretch on Stability Ball,
Chest_Stretch_on_Stability_Ball,vi,,
Childs_Pose,en,Child's Pose,
Childs_Pose,vi,,
Chin-Up,en,Chin-Up,
Chin-Up,vi,,
Chin_To_Chest_Stretch,en,Chin To Chest Stretch,
Chin_To_Chest_Stretch,vi,,
Circus_Bell,en,Circus Bell,
Circus_Bell,vi,,
Clean,en,Clean,
Clean,vi,,
Clean_Deadlift,en,Clean Deadlift,
Clean_Deadlift,vi,,
Clean_Pull,en,Clean Pull,
Clean_Pull,vi,,
Clean_Shrug,en,Clean Shrug,
Clean_Shrug,vi,,
Clean_and_Jerk,en,Clean and Jerk,
Clean_and_Jerk,vi,,
Clean_and_Press,en,Clean and Press,
Clean_and_Press,vi,,
Clean_from_Blocks,en,Clean from Blocks,
Clean_from_Blocks,vi,,
Clock_Push-Up,en,Clock Push-Up,
Clock_Push-Up,vi,,
Close-Grip_Barbell_Bench_Press,en,Close-Grip Barbell Bench Press,
Close-Grip_Barbell_Bench_Press,vi,,
Close-Grip_Dumbbell_Press,en,Close-Grip Dumbbell Press,
Close-Grip_Dumbbell_Press,vi,,
Close-Grip_EZ-Bar_Curl_with_Band,en,Close-Grip EZ-Bar Curl with Band,
Close-Grip_EZ-Bar_Curl_with_Band,vi,,
Close-Grip_EZ-Bar_Press,en,Close-Grip EZ-Bar Press,
Close-Grip_EZ-Bar_Press,vi,,
Close-Grip_EZ_Bar_Curl,en,Close-Grip EZ Bar Curl,
Close-Grip_EZ_Bar_Curl,vi,,
Close-Grip_Front_Lat_Pulldown,en,Close-Grip Front Lat Pulldown,
Close-Grip_Front_Lat_Pulldown,vi,,
Close-Grip_Push-Up_off_of_a_Dumbbell,en,Close-Grip Push-Up off of a Dumbbell,
Close-Grip_Push-Up_off_of_a_Dumbbell,vi,,
Close-Grip_Standing_Barbell_Curl,en,Close-Grip Standing Barbell Curl,
Close-Grip_Standing_Barbell_Curl,vi,,
Cocoons,en,Cocoons,
Cocoons,vi,,
Conans_Wheel,en,Conan's Wheel,
Conans_Wheel,vi,,
Concentration_Curls,en,Concentration Curls,
Concentration_Curls,vi,,
Cross-Body_Crunch,en,Cross-Body Crunch,
Cross-Body_Crunch,vi,,
Cross_Body_Hammer_Curl,en,Cross Body Hammer Curl,
Cross_Body_Hammer_Curl,vi,,
Cross_Over_-_With_Bands,en,Cross Over - With Bands,
Cross_Over_-_With_Bands,vi,,
Crossover_Reverse_Lunge,en,Crossover Reverse Lunge,
Crossover_Reverse_Lunge,vi,,
Crucifix,en,Crucifix,
Crucifix,vi,,
Crunch_-_Hands_Overhead,en,Crunch - Hands Overhead,
Crunch_-_Hands_Overhead,vi,,
Crunch_-_Legs_On_Exercise_Ball,en,Crunch - Legs On Exercise Ball,
Crunch_-_Legs_On_Exercise_Ball,vi,,
Crunches,en,Crunches,
Crunches,vi,,
Cuban_Press,en,Cuban Press,
Cuban_Press,vi,,
Dancers_Stretch,en,Dancer's Stretch,
Dancers_Stretch,vi,,
Dead_Bug,en,Dead Bug,
Dead_Bug,vi,,
Deadlift_with_Bands,en,Deadlift with Bands,
Deadlift_with_Bands,vi,,
Deadlift_with_Chains,en,Deadlift with Chains,
Deadlift_with_Chains,vi,,
Decline_Barbell_Bench_Press,en,Decline Barbell Bench Press,
Decline_Barbell_Bench_Press,vi,,
Decline_Close-Grip_Bench_To_Skull_Crusher,en,Decline Close-Grip Bench To Skull Crusher,
Decline_Close-Grip_Bench_To_Skull_Crusher,vi,,
Decline_Crunch,en,Decline Crunch,
Decline_Crunch,vi,,
Decline_Dumbbell_Bench_Press,en,Decline Dumbbell Bench Press,
Decline_Dumbbell_Bench_Press,vi,,
Decline_Dumbbell_Flyes,en,Decline Dumbbell Flyes,
Decline_Dumbbell_Flyes,vi,,
Decline_Dumbbell_Triceps_Extension,en,Decline Dumbbell Triceps Extension,
Decline_Dumbbell_Triceps_Extension,vi,,
Decline_EZ_Bar_Triceps_Extension,en,Decline EZ Bar Triceps Extension,
Decline_EZ_Bar_Triceps_Extension,vi,,
Decline_Oblique_Crunch,en,Decline Oblique Crunch,
Decline_Oblique_Crunch,vi,,
Decline_Push-Up,en,Decline Push-Up,
Decline_Push-Up,vi,,
Decline_Reverse_Crunch,en,Decline Reverse Crunch,
Decline_Reverse_Crunch,vi,,
Decline_Smith_Press,en,Decline Smith Press,
Decline_Smith_Press,vi,,
Deficit_Deadlift,en,Deficit Deadlift,
Deficit_Deadlift,vi,,
Depth_Jump_Leap,en,Depth Jump Leap,
Depth_Jump_Leap,vi,,
Dip_Machine,en,Dip Machine,
Dip_Machine,vi,,
Dips_-_Chest_Version,en,Dips - Chest Version,
Dips_-_Chest_Version,vi,,
Dips_-_Triceps_Version,en,Dips - Triceps Version,
Dips_-_Triceps_Version,vi,,
Donkey_Calf_Raises,en,Donkey Calf Raises,
Donkey_Calf_Raises,vi,,
Double_Kettlebell_Alternating_Hang_Clean,en,Double Kettlebell Alternating Hang Clean,
Double_Kettlebell_Alternating_Hang_Clean,vi,,
Double_Kettlebell_Jerk,en,Double Kettlebell Jerk,
Double_Kettlebell_Jerk,vi,,
Double_Kettlebell_Push_Press,en,Double Kettlebell Push Press,
Double_Kettlebell_Push_Press,vi,,
Double_Kettlebell_Snatch,en,Double Kettlebell Snatch,
Double_Kettlebell_Snatch,vi,,
Double_Kettlebell_Windmill,en,Double Kettlebell Windmill,
Double_Kettlebell_Windmill,vi,,
Double_Leg_Butt_Kick,en,Double Leg Butt Kick,
Double_Leg_Butt_Kick,vi,,
Downward_Facing_Balance,en,Downward Facing Balance,
Downward_Facing_Balance,vi,,
Drag_Curl,en,Drag Curl,
Drag_Curl,vi,,
Drop_Push,en,Drop Push,
Drop_Push,vi,,
Dumbbell_Alternate_Bicep_Curl,en,Dumbbell Alternate Bicep Curl,
Dumbbell_Alternate_Bicep_Curl,vi,,
Dumbbell_Bench_Press,en,Dumbbell Bench Press,
Dumbbell_Bench_Press,vi,,
Dumbbell_Bench_Press_with_Neutral_Grip,en,Dumbbell Bench Press with Neutral Grip,
Dumbbell_Bench_Press_with_Neutral_Grip,vi,,
Dumbbell_Bicep_Curl,en,Dumbbell Bicep Curl,
Dumbbell_Bicep_Curl,vi,,
Dumbbell_Clean,en,Dumbbell Clean,
Dumbbell_Clean,vi,,
Dumbbell_Floor_Press,en,Dumbbell Floor Press,
Dumbbell_Floor_Press,vi,,
